id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000431,user,教える,客の観光の同行者 客が希望する交通手段,友達 電車,私は、電車に乗って友達と旅行がしたいです。,友達と一緒の旅行では電車を使っていきたいです。
u00001012,user,教える,客の希望の観光時間帯 客が希望する観光ジャンル,日中 記念碑・像,日中に記念碑・像がみれるルートがいいです。,記念碑・像には日中にみてまわれるようなコースがいいです。
u00000386,user,教える,客の本日の同行者 客の名前,なし 田村,私は田村といいますが、今日は一緒に旅行する人はいません。,今日は、旅行の同行者はいません。私は田村と申します。
u00000840,user,教える,客の希望の観光時間帯 客が希望する交通手段,日中 公共交通機関,公共交通機関を使って、日中に観光地を巡りたいです。,観光は日中がいいです。公共交通機関を使って移動したいです。
u00001087,user,教える,客の本日の同行者 客の本日の交通手段,乳幼児 車,一緒に旅行するのは、乳幼児です。観光には車を使いたいです。,今日は車で観光をしたいです。同行する人は乳幼児になります。
u00000530,user,教える,客の観光の同行者 客が希望する観光の季節,女性 夏,観光の時期は夏がいいです。一緒に旅行する人は女性です。,今回は、女性と一緒に旅行をします。希望する季節は夏です。
u00000873,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,公共交通機関 アウトドア,私は、アウトドア派なんです。公共交通機関を使って旅行がしたいです。,公共交通機関で旅行がしたいです。私は、アウトドアな人間なんですよ。
u00000080,user,質問する,観光地の名称 観光地の撮影可否,ジャパンスネークセンター ?,ジャパンスネークセンターに行きたいのですが、そこで撮影はできますか,観光地を撮影したいんですが、ジャパンスネークセンターは可能ですか
u00000295,user,質問する,観光地がインドアかアウトドアか 観光地の喫煙可否,? ?,そこはインドアかアウトドアかどっちですか。また喫煙は可能ですか,煙草を吸いたいのですが、そこで吸うことはできますか。それから、そこはインドアですか、アウトドアですか
u00001029,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,未定 夜,夜に旅行がしたいです。観光にかける時間は、未定です。,観光にかける時間はまだ、きまっていません。時間帯は夜がいいです。
u00000262,user,質問する,観光地の飲食物持ち込みの可否 観光地のすいている曜日，時間帯,? ?,空いている曜日や時間帯はいつ頃ですか。飲食物の持ち込みは可能ですか,飲食物は持ち込んでもいいですか。それから、空いている曜日や時間帯はいつ頃ですか
u00000229,user,質問する,観光地の待ち時間 観光地の設備,? ?,観光地にはどんな設備がありますか。また、どのくらい待ち時間がありますか,どのくらい待たなければいけなくって、そこにはどんな設備がありすか
u00001033,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,希望なし 日中,どのくらい時間をかけたいか、特に希望はないです。時間帯は日中がいいです。,特にかけたい時間に希望はありません。ただ、日中に観光がしたいです。
u00001010,user,教える,客の希望の観光時間帯 客が希望する観光ジャンル,希望なし 観光道路,時間帯は特に希望はありません。ジャンルは観光道路がいいかな。,行先には観光道路を希望します。希望の時間はありません。
u00000612,user,教える,客の観光の同行者 客の趣味,子供 チェス,私はチェスが趣味なんです。旅行には、子供が一緒に行きます。,旅行に同伴するのは、子供です。私はチェスが趣味なんですよ。
u00000813,user,教える,客の趣味 客が希望する交通手段,美容 徒歩,私の趣味は美容なんです。そのため徒歩で移動がしたいです。,趣味は美容なんです。それも兼ねて徒歩で移動がしたいです
u00000298,user,質問する,観光地の広さ 観光地の駐車場の料金,? ?,そこはどのくらい広さがありますか。それから、駐車料金はいくらですか,駐車料金っていくらくらいかかりますか。広さってどれくらいありますか
u00000294,user,質問する,観光地のおすすめイベント 観光地の喫煙可否,? ?,そこではタバコは吸えますか。それから、おすすめのイベントがあったら教えてください。,そこのおすすめのイベントってありますか。その場所は、喫煙可能な場所ですか。
u00000790,user,教える,客が観光にかけたい時間 客が希望する交通手段,30分以上60未満 電車,電車に乗って観光地を巡りたいです。希望所要時間は30分から60分まででお願いします。,だいたい、30分から60分くらいで移動できるほうがいいです。移動には電車を使いたいです。
u00000976,user,教える,客の希望の観光時間帯 客が希望する観光の季節,午後 秋,季節は秋がいいです。時間帯は午後がいいかな。,午後に観光地に行きたいです。時期は秋がいいかなと思っています。
