id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000661,user,教える,客の観光の同行者 客の希望の観光時間帯,ペット 未定,ペット連れでも楽しめる観光地を教えてほしいんですが,ペットの犬も一緒に楽しめるアトラクションのある観光地が知りたいのですが
u00000338,user,教える,客の観光の同行者,女性,東京から安く行ける観光地のおすすめを教えてください,あまり混雑していない観光地のおすすめはありますか
u00000854,user,教える,客の希望の観光時間帯 客が希望する交通手段,夜 公共交通機関,夜遅くまで公共交通機関が利用できる観光地を教えてほしい,夜でも公共交通機関が頻繁に走っている観光地はありますか
u00000350,user,教える,客が希望する観光の季節,春,春に観光地へ行きたいのですが、どこが良いですか。,春に旅行をしたいのですが東京から２時間以内で行ける良いところがあれば知りたいです
u00000923,user,教える,客が観光にかけたい時間 客が希望する観光の季節,30分未満 冬,冬の旅行先は寒いので30分未満で、さっと観光スポットを見学できるところはありますか,冬に観光に行きたいのですが30分未満で観光地を回りたいけれど可能な場所はありますか
u00000527,user,教える,客の観光の同行者 客が希望する観光の季節,女性 未定,女性と一緒に観光したいのですが、どこなら喜んでもらえますかね,女性の友達同士での温泉旅行でおすすめを教えてください
u00000485,user,教える,客の観光の同行者 客が希望する観光の季節,なし 未定,どこでもいいのですが、楽しいところを教えてください,どこか風景の素敵な観光地に行きたいのでおすすめを教えてください
u00000982,user,教える,客の希望の観光時間帯 客が希望する観光の季節,夜 秋,季節は秋で、主に夜に夜景を楽しみたいのですがおすすめを教えてください,秋に旅行先で夜の街の散策を楽しみたいのですがどこが良いですか
u00000836,user,教える,客の希望の観光時間帯 客が希望する交通手段,日中 希望なし,観光は主に日中に回りたいんですが、どこか面白そうなところはありますか,日中だけで観光したいんですが、おすすめのスポットはありますか
u00000817,user,教える,客の希望の観光時間帯 客が希望する交通手段,未定 バス,バスを使って観光地を巡りたいのですが大丈夫そうですか,バスだけで観光地を見て回ることは可能ですか
u00001074,user,教える,客が観光にかけたい時間 客がインドア派かアウトドア派か,60分以上90分未満 アウトドア,アウトドア派が楽しめて１時間から１時間半ぐらいで遊べるスポットを教えてください,１時間から１時間半程度で楽しめるアウトドアアトラクションがありますか
u00000650,user,教える,客の観光の同行者 客の希望の観光時間帯,恋人 希望なし,恋人と一緒の旅行なんですが、どこがおすすめの観光地ですか,恋人と楽しめるロマンチックな観光地が知りたいです
u00000692,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,友達 インドア,インドア派の友達と一緒の旅行なんですが美術館とかたくさんあるところを教えてください,インドア派でも楽しめる観光スポットを知りたいです
u00001120,user,教える,客の本日の同行者 客の本日の交通手段,ペット 公共交通機関,ペットは公共機関を利用することができるのか知りたいです,ペット同伴でも公共機関を使って気軽に観光できるところが知りたいです
u00000449,user,教える,客の観光の同行者 客が希望する交通手段,ペット 希望なし,ペットと一緒に観光を楽しめるところのおすすめはありますか。,ペットも旅行に連れて行きたいのですが、ドッグランなどがあるホテルはありますか
u00000588,user,教える,客の観光の同行者 客が観光にかけたい時間,家族 30分以上60未満,家族旅行で観光には30分から１時間以内でささっと観光できるところがある場所のおすすめは？,家族で１時間未満で観光できる手頃なスポットはありますか。
u00000266,user,質問する,観光地の飲食物持ち込みの可否 観光地の新型コロナウイルス感染対策,? ?,新型コロナ対策をしっかりやっているか知りたいです。それと食べ物は持ち込みできるのですか？,現地はコロナ対策をちゃんとやってるか、食べ物を持ち込んで良いのか教えてほしい
u00000805,user,教える,客が観光にかけたい時間 客が希望する交通手段,90分以上 公共交通機関,公共交通機関を利用してゆっくりと１時間半以上観光できるところに行きたいのでおすすめを教えてください,現地では公共交通機関を利用して時間をかけて観光スポットが回れるところがあれば知りたいです
u00001018,user,教える,客が観光にかけたい時間 客の趣味,未定 パン作り,パン作りの体験ができる観光地を教えてください,旅先でパン作り体験をやっているところがあれば知りたいです
u00000517,user,教える,客の観光の同行者 客が希望する観光の季節,家族 春,春に家族旅行をしたいのですが子供から大人まで楽しめる観光地を教えてください,家族で春休みを利用して旅行を計画していますが、おすすめはありますか
