id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00001096,user,教える,客の本日の同行者 客の本日の交通手段,なし 徒歩,交通手段は徒歩で、同行者はいません,一人で歩いていこうと思っています。
u00000170,user,質問する,観光地におすすめな人 観光地の最寄り駅,? ?,ここがおすすめなのはどういう人ですか？それと最寄り駅はどこになりますか？,最寄りは何駅でしょう？そこはどういう人が向いていますか？
u00000092,user,質問する,観光地の名称 観光地の広さ,ナナちゃん人形 ?,ナナちゃん人形の広さはどれくらいになりますか？,このナナちゃん人形はどのくらいの広さなんでしょう？
u00000913,user,教える,客が観光にかけたい時間 客が希望する観光の季節,希望なし 希望なし,滞在時間も行きたい季節も特に希望はないんですが。,季節はいつでも。時間も長くても短くても構いません。
u00000439,user,教える,客の観光の同行者 客が希望する交通手段,恋人 公共交通機関,恋人と、公共の交通機関で行きたいと思っています。,公共の交通機関で、一緒に行くのは恋人です。
u00001007,user,教える,客が観光にかけたい時間 客が希望する観光ジャンル,90分以上 社寺・教会,お寺とか協会とか、90分以上は見たいですね。,90分以上は居られる教会や社寺がいいです。
u00000859,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,希望なし 特になし,行くのはどんな方法でもいいです。インドアかアウトドアかも問いません。,インドア、アウトドアどちらが良いということはないです。交通手段も何でも構わないです。
u00000029,user,質問する,観光地の利用可能なキャッシュレス決済,?,そこで使えるキャッシュレス決済はどんなものがありますか？,そこではキャッシュレス決済をしたいんですが、何が使えますか？
u00000028,user,質問する,観光地のすいている曜日，時間帯,?,そこはいつ頃がすいているんでしょう？曜日とか時間帯が知りたいです。,すいている時間帯と曜日を教えてもらえますか？
u00000366,user,教える,客の本日の同行者,恋人,恋人と一緒に行こうと思っています。,同行するのは恋人です。
u00000283,user,質問する,観光地の広さ 観光地の予約要否,? ?,そこはどれくらい広いんですか？あと予約が必要かどうかも教えてください。,そこは予約がいりますか？広さについても知りたいです。
u00000490,user,教える,客の観光の同行者 客が希望する観光の季節,なし 冬,冬に一人で行こうと思っています。,同行者はいません。季節は冬でお願いします。
u00000827,user,教える,客の希望の観光時間帯 客が希望する交通手段,希望なし 徒歩,徒歩で行ける場所がいいです。時間はいつでもいいです。,行く時間は問わないので、歩いていけるところでお願いします。
u00001078,user,教える,客の趣味 客の希望の観光時間帯,筋トレ 未定,趣味は筋トレです。何時頃がいいかはまだ決めていません。,希望する時間については未定です。筋トレが趣味です。
u00000525,user,教える,客の観光の同行者 客が希望する観光の季節,ペット 秋,秋にペットと一緒に行ける場所がいいですね。,ペット連れで秋頃に行きたいと思ってます。
u00000762,user,教える,客が希望する観光ジャンル 客が希望する交通手段,プール 電車,電車で行ける範囲で、プールに行きたいです。,電車を使って行けるプールがいいです。
u00000807,user,教える,客の趣味 客が希望する交通手段,マジック 未定,何で行くかはまだ決めていません。趣味はマジックです。,マジックが趣味なんですけど、行く方法については検討中です。
u00000090,user,質問する,観光地の名称 観光地の利用可能なキャッシュレス決済,天宮神社 ?,天宮神社で使えるキャッシュレス決済には何がありますか？,キャッシュレス決済を使いたいんですが、天宮神社だと何がいいんでしょう？
u00000213,user,質問する,観光地の割引 観光地の利用可能なキャッシュレス決済,? ?,そこで使えるキャッシュレス決済と、割引情報が知りたいです。,その場所でなにかいい割引はありますか？あと利用可能なキャッシュレス決済は何でしょう？
u00001131,user,教える,客の本日の同行者 客の本日の交通手段,歴史好き 徒歩,歩いて行きたいんですが、一緒に行く人が歴史好きなんですよね。,同行者が歴史好きで、行くなら徒歩を考えています。
