id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000848,user,教える,客の希望の観光時間帯 客が希望する交通手段,午後 徒歩,夕方に歩くのがおすすめです。,お昼頃徒歩で行くのがいいですよ。
u00000499,user,教える,客の観光の同行者 客が希望する観光の季節,子供 春,春に行くのがおすすめだよ。,春になってから行くといいよ。
u00000106,user,質問する,観光地の名称 観光地周辺のレストランの評価,国営武蔵丘陵森林公園 ?,国営武蔵丘陵森林公園のレストランはどこにありますか。,国営武蔵丘陵森林公園のレストランは美味しいですか。
u00000061,user,質問する,観光地の名称 観光地におすすめな人,? ?,おすすめの観光地はありますか。,おすすめの観光地があれば教えて下さい。
u00000775,user,教える,客が観光にかけたい時間 客が希望する交通手段,希望なし バス,バスで移動するといいですよ。,バスで行くことをおすすめします。
u00000167,user,質問する,観光地の駐車場の有無 観光地の最寄り駅,? ?,駅のそばに駐車場はありますか。,駅周辺に車を停める場所はありますか。
u00000690,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,子供 アウトドア,外で遊べるところがあるよ。,そこなら外遊びができるよ。
u00000639,user,教える,客の観光の同行者 客の希望の観光時間帯,子供 朝,朝が気持ちいいよ。,朝がおすすめだよ。
u00000770,user,教える,客が観光にかけたい時間 客が希望する交通手段,未定 公共交通機関,公共交通機関を利用するなら何がいいですか。,おすすめの公共交通機関はありますか。
u00000110,user,質問する,観光地のジャンル 観光地の定休日,? ?,定休日を教えて下さい。,定休日はいつですか。
u00000155,user,質問する,観光地の公共交通機関でのアクセス 観光地の電話番号,? ?,電話番号を教えて下さい。,そちらの電話番号を教えて頂けますか。
u00000905,user,教える,客が希望する観光ジャンル 客が希望する観光の季節,記念館 冬,冬の記念館がおすすめですよ。,記念館に行くなら冬がおすすめです。
u00000310,user,質問する,観光地の待ち時間 観光地の利用可能なキャッシュレス決済,? ?,キャッシュレス決済は何が利用できますか。,利用できるキャッシュレス決済を教えて下さい。
u00000953,user,教える,客の希望の観光時間帯 客が希望する観光の季節,未定 冬,冬に行くのがいいですよ。,季節は冬がおすすめです。
u00000837,user,教える,客の希望の観光時間帯 客が希望する交通手段,日中 車,日中なら車での観光がおすすめです。,車で行くなら日中がいいですよ。
u00000053,user,質問する,観光地の名称 観光地の最寄り駅,? ?,最寄り駅はどこですか。,最寄りの駅名を教えて下さい。
u00000406,user,教える,客の観光の同行者 客が希望する交通手段,なし 未定,何で行ってもいい所ですよ。,何で行っても問題ないと思います。
u00000863,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,車 インドア,車で行ける室内アトラクションもありますよ。,室内アトラクションが車で行ける場所にあります。
u00000388,user,教える,客の本日の同行者 客の名前,友達 松井,松井君には伝えてあるよ。,松井君にはもう伝えたよ。
u00000627,user,教える,客の観光の同行者 客の希望の観光時間帯,なし 朝,朝に行くといいですよ。,朝に行くのがおすすめです。
