id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000340,user,教える,客が希望する交通手段,未定,どのような交通手段でも移動できますよ,公共の交通機関で移動できます。
u00000079,user,質問する,観光地の名称 観光地の飲食物持ち込みの可否,? ?,観光地への飲食物の持ち込みは出来ますか,この観光地は飲食物持ち込みは可能ですか
u00000662,user,教える,客の観光の同行者 客の希望の観光時間帯,ペット 希望なし,観光地へペットの持ち込みは可能です,時間帯によってペットの持ち込みは可能です
u00001070,user,教える,客が観光にかけたい時間 客がインドア派かアウトドア派か,30分以上60未満 インドア,この観光地は小一時間で観光が出来ます。,屋内でも観光が可能な施設があります。
u00000469,user,教える,客の観光の同行者 客が希望する食べ物,未定 豆腐料理,こちらの観光地は少人数で見ることが出来ます,こちらは豆腐料理が有名です。
u00000670,user,教える,客の観光の同行者 客の希望の観光時間帯,女性 日中,女性向けの施設が多くあります。,昼間の時間帯は女性が多く訪れます。
u00000036,user,質問する,観光地周辺のレストランのジャンル,?,こちらのレストランはどのような店ですか,観光地のレストランはどのようなジャンルですか
u00000657,user,教える,客の観光の同行者 客の希望の観光時間帯,家族 朝,家族は何名まで同伴出来ますか,時間帯によって人数の制限はありますか
u00000793,user,教える,客が観光にかけたい時間 客が希望する交通手段,60分以上90分未満 未定,こちらの観光する時間は小一時間ほどです,移動手段は多数あります
u00000636,user,教える,客の観光の同行者 客の希望の観光時間帯,乳幼児 夜,こちらの観光地は乳幼児も入る事が可能です,夜にイベントが開催されます
u00000909,user,教える,客が観光にかけたい時間 客が希望する観光の季節,未定 夏,ゆっくりと観光が可能です,夏に多くの人で賑わいます
u00000814,user,教える,客の希望の観光時間帯 客が希望する交通手段,未定 未定,どの時間帯で観光されますか,交通機関は多数存在します
u00000749,user,教える,客が希望する交通手段 客が希望する観光の季節,公共交通機関 夏,公共交通機関で移動できます,夏季は多くの人で賑わいます
u00000054,user,質問する,観光地の名称 観光地の駐車場の有無,窯垣の小径 ?,窯垣をた訪れたい,駐車場はありますか
u00000268,user,質問する,観光地の飲食物持ち込みの可否 観光地がインドアかアウトドアか,? ?,こちらは飲食物は持ち込み出来ますか,屋外と屋内どちらを希望されますか
u00000233,user,質問する,観光地の手荷物預かりの有無 観光地のWi-Fiの有無,? ?,手荷物を預かる場所はありますか,こちらの観光地はWi-Fiは利用が可能ですか
u00000585,user,教える,客の観光の同行者 客が観光にかけたい時間,家族 未定,御家族で入場か可能です,ゆっくりと観光が可能です
u00000063,user,質問する,観光地の名称 観光地におすすめな時期,? ?,こちらの施設の名称は何ですか,季節はいつ頃がよいですか
u00000300,user,質問する,観光地の駐車場の料金 観光地の新型コロナウイルス感染対策,? ?,駐車場の料金は幾らですか,感染症の対策は万全ですか
u00000128,user,質問する,観光地の営業時間 観光地の電話番号,? ?,こちらの営業時間は何時からですか,施設の電話番号を教えてください
