id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000033,user,質問する,観光地のおすすめイベント,?,面白そうなイベントはやっていますか。,おすすめのイベントはありますか。
u00000928,user,教える,客が観光にかけたい時間 客が希望する観光の季節,30分以上60未満 秋,秋に30分から60分くらいで楽しめる所に行こうと思っています。,秋ごろに行きたいです。時間は30分から60分程度が望ましいです。
u00000876,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,徒歩 アウトドア,徒歩で回れて、アウトドア派でも楽しめる所に行きたいです。,アウトドア派なので外で楽しめる所が良いです。移動は徒歩にしようと思っています。
u00000198,user,質問する,観光地のお土産 観光地の利用可能なキャッシュレス決済,? ?,有名なお土産はありますか。そちらではキャッシュレス決済は何が使えるでしょうか。,おすすめのお土産品と、使えるキャッシュレス決済を教えてください。
u00000031,user,質問する,観光地の待ち時間,?,待ち時間はどのくらいですか。,どのくらい待たなければならないのでしょうか。
u00000392,user,教える,客の本日の同行者 客の名前,女性 鈴木,鈴木と申します。女性と二人で楽しめる所に行きたいと考えています。,私、鈴木とこちらの女性の二人で観光に行こうと思っています。
u00000964,user,教える,客の希望の観光時間帯 客が希望する観光の季節,朝 秋,秋ごろに、朝から楽しめる所に行きたいです。,朝から回れる観光地が良いです。季節は秋を予定しています。
u00000506,user,教える,客の観光の同行者 客が希望する観光の季節,友達 夏,友達と観光しようと思っています。季節は夏を予定しています。,夏に友達と楽しめる観光地に行きたいです。
u00000718,user,教える,客が希望する交通手段 客が希望する観光の季節,未定 春,春に観光したいと考えています。移動手段はまだ決めていません。,移動方法は考え中ですが、春ごろに観光に行きたいと思っています。
u00000428,user,教える,客の観光の同行者 客が希望する交通手段,友達 希望なし,移動方法は何でもいいので、友達と楽しめる所が良いです。,友達と観光しようと思っています。移動は何でも大丈夫です。
u00000280,user,質問する,観光地の駐車場の料金 観光地の予約要否,? ?,駐車料金はいくらでしょうか。予約は必要ですか。,予約が必要かどうかと、駐車場の料金を教えてください。
u00000567,user,教える,客の観光の同行者 客が観光にかけたい時間,子供 未定,子供と一緒に行こうと思っています。観光の時間はまだ未定です。,観光にかける時間はまだ決めていませんが、子供と行って楽しめる所が良いです。
u00000082,user,質問する,観光地の名称 観光地の予約要否,安楽島海水浴場 ?,安楽島海水浴場の方は予約する必要はありますか。,安楽島海水浴場は予約しないといけないのでしょうか。
u00000602,user,教える,客の観光の同行者 客が観光にかけたい時間,女性 90分以上,女性と行こうと思っています。90分以上楽しめる所が良いです。,女性と一緒に、90分以上観光できる所に行きたいと思っています。
u00001147,user,教える,客の希望の観光時間帯 客がインドア派かアウトドア派か,夜 特になし,夜に観光できる所に行きたいです。アウトドア派でもインドア派でもないので、どこでも大丈夫です。,外でも屋内でも良いので、夜に楽しめる観光地が良いと思っています。
u00001047,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,30分以上60未満 夜,夜に30分から60分程度楽しめる所が良いと思っています。,30分から60分くらいで、夜に観光できる所が望ましいです。
u00000597,user,教える,客の観光の同行者 客が観光にかけたい時間,女性 未定,女性と観光する予定です。どれくらい時間をかけるかはまだ決まっていません。,観光にかける時間はまだ未定ですが、女性と一緒に行こうと思っています。
u00000495,user,教える,客の観光の同行者 客が希望する観光の季節,乳幼児 秋,秋ごろに、赤ちゃんと一緒に観光に行きたいと思っています。,秋を予定しています。乳幼児も一緒です。
u00000342,user,教える,客が希望する交通手段,車,車で移動できる所に行きたいと考えています。,移動は車にしようと思っています。
u00000942,user,教える,客の趣味 客が希望する観光の季節,Twitter 未定,Twitterに投稿して話題になりそうな観光地が良いです。季節はまだ決めていません。,季節はまだ未定ですが、Twitterでバズりそうな所を希望します。
