id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00001039,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,30分未満 日中,日中にだいたい30分未満でみてまわれるスポットが希望です。,日中に30分未満で観光できるような場所に行きたいと思っています。
u00000169,user,質問する,観光地での観光の所要時間 観光地の最寄り駅,? ?,観光地を楽しむための所要時間はどのくらいですか？また観光地の最寄り駅も教えてほしいです。,観光に必要な時間はどの程度でしょうか？最寄り駅の情報もほしいです。
u00000278,user,質問する,観光地の撮影可否 観光地がインドアかアウトドアか,? ?,観光地では撮影は可能ですか？また野外でしょうか屋内でしょうか？,観光地はアウトドアで楽しむようなスポットですか？撮影はしてもよいでしょうか？
u00001137,user,教える,客の希望の観光時間帯 客がインドア派かアウトドア派か,希望なし アウトドア,観光時間帯の希望は特にありませんが、アウトドア派なので自然を楽しむスポットがいいです。,観光時間はいつでもよくて、アウトドアで楽しめる場所を希望します。
u00000666,user,教える,客の観光の同行者 客の希望の観光時間帯,ペット 夜,観光にペットを連れていきたいと思っています。夜の観光を楽しみたいと考えています。,夜の時間帯にペットを連れて観光を楽しみたいと思っています。
u00000257,user,質問する,観光地の手荷物預かりの有無 観光地がインドアかアウトドアか,? ?,観光地では手荷物預かりのサービスはありますか？またその場所は屋内か野外どちらでしょうか？,観光地はインドアですかアウトドアですか？手荷物預かりが出来るかどうかも教えてほしいです。
u00001106,user,教える,客の本日の同行者 客の本日の交通手段,友達 徒歩,友達と徒歩で行ける観光地を教えてほしいです。,友達と観光を楽しみたいと思っています。徒歩で行けるスポットが希望です。
u00000323,user,質問する,観光地のおすすめイベント 観光地がインドアかアウトドアか,? ?,観光地のおすすめイベントがあれば教えてほしいです。またインドアかアウトドアかも知りたいです。,観光地でのおすすめイベントは何かありますか？またそのイベントが屋内か野外かも教えて下さい。
u00000474,user,教える,客の観光の同行者 客が希望する食べ物,恋人 すし,恋人と一緒に観光を楽しみたいと思っています。一緒にお寿司を食べたいです。,恋人と一緒に美味しいお寿司を食べられるようなスポットに行きたいです。
u00000562,user,教える,客の観光の同行者 客が観光にかけたい時間,乳幼児 希望なし,観光にかける時間は特に希望はありませんが、乳幼児を連れていけるような場所に行きたいです。,乳幼児も楽しめる観光地に行きたいです。観光にかける時間には要望はありません。
u00000231,user,質問する,観光地のおすすめイベント 観光地の設備,? ?,観光地のおすすめイベントについて教えて下さい。また観光地の設備はどのようなものになっていますか？,観光地で楽しめるおすすめイベントはありますか？また、設備についても知りたいです。
u00000352,user,教える,客が希望する観光の季節,秋,秋の季節に楽しめる観光地に行きたいと思っています。,観光地に行く時期は、特に秋の季節を希望します。
u00001045,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,30分以上60未満 日中,日中の時間帯で、30分以上60分未満で回れる観光地がよいと思っています。,30分～60分くらいの時間で楽しめるスポットに行きたいです。時間帯は日中を希望します。
u00000528,user,教える,客の観光の同行者 客が希望する観光の季節,女性 希望なし,希望する季節は特にありませんが、女性が楽しめるスポットに行きたいと考えています。,女性におすすめの観光地に行きたいです。季節はいつでも構いません。
u00000963,user,教える,客の希望の観光時間帯 客が希望する観光の季節,朝 夏,夏の朝の時間帯に観光できるスポットに行きたいです。,朝の時間帯に楽しめる観光地がよいです。夏の季節に行きたいです。
u00000073,user,質問する,観光地の名称 観光地の設備,? ?,観光地の名前は何といいますか？また観光地の設備についても教えてほしいです。,観光スポットの名前と設備について教えてもらえますか？
u00001043,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,30分以上60未満 希望なし,だいたい30分以上60分未満で回れる観光スポットに行きたいです。時間帯は特に希望はありません。,時間帯の希望は特にありませんが、30分から60分までで楽しめる場所がいいです。
u00000272,user,質問する,観光地の撮影可否 観光地のすいている曜日，時間帯,? ?,観光地は撮影可能ですか？また、すいている曜日や時間帯を教えてください。,観光地のすいている時間帯や曜日があれば知りたいです。それと撮影はOKでしょうか？
u00000556,user,教える,客の観光の同行者 客が観光にかけたい時間,なし 希望なし,同行者はいないので自由に観光に時間をかけられます。,一人で楽しめるスポットを考えています。特に観光にかける時間については希望はありません。
u00000346,user,教える,客が希望する交通手段,徒歩,徒歩でいけるような観光スポットがいいです。,徒歩でも十分に楽しめるような観光地があればいいなと思っています。
