id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000952,user,教える,客の希望の観光時間帯 客が希望する観光の季節,未定 秋,時間帯は未定ですが、秋に観光しようと思っています。,秋に観光予定です。時間帯はまだ決まっていません。
u00000594,user,教える,客の観光の同行者 客が観光にかけたい時間,ペット 30分以上60未満,うちのペットを連れて行きたいです。時間は大体30分から60分くらいです。,1時間以内でペットと一緒に行きたいです。
u00000045,user,質問する,観光地の名称 観光地の定休日,? ?,その観光地の名前は何ですか？定休日も教えてください。,その観光地の名称と定休日が気になります。
u00000880,user,教える,客が希望する食べ物 客が希望する観光の季節,牛タン 夏,夏に牛タンが食べたいです。,牛タンが食べたいです。夏に行く予定です。
u00000867,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,バス アウトドア,バスでアウトドアに行きたいです。,インドア派ではなくアウトドア派です。バスでお願いします。
u00000641,user,教える,客の観光の同行者 客の希望の観光時間帯,子供 午後,午後に子供と行く予定です。,子供と一緒に行きます。時間帯は午後でお願いします。
u00001128,user,教える,客の本日の同行者 客の本日の交通手段,歴史好き バス,今日は歴史が好きな人とバスで行きます。,今日はバスで行く予定です。歴史が好きな人と一緒です。
u00000719,user,教える,客が希望する交通手段 客が希望する観光の季節,未定 夏,どう行くかは決めてませんが、夏に行く予定です。,夏の時期で行く予定ですが、交通手段はまだ決めてないです。
u00000596,user,教える,客の観光の同行者 客が観光にかけたい時間,ペット 90分以上,ペットと一緒に1時間半以上でじっくり行きたいです。,90分以上で、ペットと一緒に行く予定です。
u00000367,user,教える,客の本日の同行者,家族,今日は家族と一緒に行く予定です。,今日は家族も一緒です。
u00000607,user,教える,客の観光の同行者 客が観光にかけたい時間,歴史好き 60分以上90分未満,歴史好きな人と一緒に1時間半以内で行きたいです。,所要時間は1時間半程度で、歴史が好きな人も一緒です。
u00000479,user,教える,客の観光の同行者 客が希望する観光の季節,未定 未定,自分以外の人数も時期もまだ決めてないです。,行く時期や同行者はまだ決めてない段階です。
u00000191,user,質問する,観光地の手荷物預かりの有無 観光地のお土産,? ?,その観光地は手荷物を預ける場所はありますか？お土産も気になります。,その観光地のお土産は何ですか？あと荷物を預けることはできますか？
u00001072,user,教える,客が観光にかけたい時間 客がインドア派かアウトドア派か,60分以上90分未満 特になし,所要時間は1時間半程度で、外でも中でも大丈夫です。,屋内と屋外どちらでもいいですが、1時間半以内でお願いします。
u00000253,user,質問する,観光地の広さ 観光地の手荷物預かりの有無,? ?,そこで荷物を預けることはできますか？あと広さはどのくらいですか？,そこの広さはどのくらいですか？荷物を預けられるかも気になります。
u00000348,user,教える,客が希望する観光の季節,未定,どの季節に行こうか迷っています。,観光時期はまだ決めてないです。
u00000592,user,教える,客の観光の同行者 客が観光にかけたい時間,ペット 希望なし,観光時間は何でもいいですが、ペットと一緒に行きたいです。,ペットと一緒に行きたいです。観光時間は何でも大丈夫です。
u00000794,user,教える,客が観光にかけたい時間 客が希望する交通手段,60分以上90分未満 希望なし,何で行こうかは決めてないですが、1時間半以内でお願いします。,1時間半以内で行く予定ですが、交通手段で迷ってます。
u00000941,user,教える,客が観光にかけたい時間 客が希望する観光の季節,90分以上 冬,冬に1時間半以上でじっくり行きたいですね。,1時間半以上時間をかけたいです。冬でお願いします。
u00000557,user,教える,客の観光の同行者 客が観光にかけたい時間,なし 30分未満,30分以内で一人で行きたいです。,単独で、30分以内でさっと行きたいです。
