id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001893,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の撮影可否,幕山公園 不可能 可能,幕山公園は飲食物は持ち込むことができませんが、撮影はできます。,幕山公園は飲食物の持ち込みは不可ですが、撮影は可能です。
s00001067,system,情報を教える,客の名前（※） 観光地の名称 観光地の予約要否,野口 たち農園 不可能,野口様、たち農園の予約は不可です。,野口様、たち農園の予約をすることはできません。
s00001357,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地におすすめな人,滋賀院門跡 あり 歴史好き,滋賀院門跡に駐車場はあります。歴史が好きな方におすすめです。,滋賀院門跡に車を停めるところはあります。歴史好きの方は楽しんでいただけると思います。
s00002116,system,観光地の情報を使って客におすすめする,観光地の名称 観光地のジャンル,小室山公園 図書館,小室山公園の図書館がおすすめです。,おすすめなのは小室山公園にある図書館です。
s00000461,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,夏 バス,夏にバスで観光されるのは良いですね。,バス観光を夏にされるのは素敵ですね。
s00002087,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の広さ,犬飼滝 不明 一日あれば十分見て回れるような広さ,犬飼滝は一日程度で観光できる広さでありますが、インドアかアウトドアかについてはわかりません。,犬飼滝は広さとしては一日あれば十分に見て回れますが、インドアかアウトドアかに関しては不明です。
s00000064,system,好意的に承知する,客がインドア派かアウトドア派か,アウトドア,アウトドアがお好きなのですね。良いですね。,アウトドア派でございますね。素敵ですね。
s00000652,system,好意的に承知する,客が希望する観光の季節 客が観光にかけたい時間,秋 希望なし,どれぐらい時間かけるかは決めずに秋に観光するのは良いですね。,秋に時間を気にしないで観光するのは素敵ですね。
s00001106,system,情報を教える,観光地の名称 観光地におすすめな人,こんぶくろ池自然博物公園 女性,こんぶくろ池自然博物公園は女性におすすめでございます。,こんぶくろ池自然博物公園は女性の方に楽しんでいただけると思います。
s00001512,system,情報を教える,観光地の名称 観光地のお土産 観光地の設備,湊山公園 伝統工芸品 乳幼児への対応なし,湊山公園の伝統工芸品は乳幼児への対応がございません。,湊山公園の伝統工芸品は乳幼児に対応しておりません。
s00000693,system,好意的に承知する,客の希望の観光時間帯 客が希望する観光の季節,午後 未定,季節に関わらず午後に観光がご希望ですね。良いですね。,季節は未定ということですね。午後の観光は素敵ですね。
s00001881,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地がインドアかアウトドアか,樫野釣公園センター あり インドア,樫野釣公園センターに手荷物預かり所はございます。また、インドアタイプの施設でございます。,樫野釣公園センターには手荷物を預かってもらえるところがございます。また、インドアを楽しむ施設でございます。
s00001210,system,情報を教える,観光地の名称 観光地の営業時間 観光地におすすめな時期,割烹 滝川 7～19時 夏,割烹滝川の営業時間は7～19時で、夏がおすすめです。,割烹滝川の営業は7時から19時までで、夏に行くのが良いと思います。
s00000456,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,春 公共交通機関,春に公共交通機関を使って行かれるのは素敵ですね。,公共交通機関で春に観光するのは良いですね。
s00000388,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,女性 未定,時間を決めないで女性と一緒に観光するのは素敵ですね。,女性とどのぐらいの時間に行くのか決めずに観光するのは良いですね。
s00000385,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,ペット 日中,日中、ペットと一緒に観光するのは良いですね。,ペットを連れて日中に観光するは素敵ですね。
s00000679,system,好意的に承知する,客の希望の観光時間帯 客が希望する観光の季節,希望なし 秋,秋に観光時間帯を決めないのは良いですね。,何時に観光するかは決めずに秋に観光するのは素敵ですね。
s00001904,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の喫煙可否,桜ケ池 不明 不明,桜ケ池は飲食物持ち込みも喫煙も可否が不明でございます。,桜ケ池は飲食物持ち込みも喫煙もできるかはわかりません。
s00000372,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,恋人 朝,恋人と一緒に朝に観光するのは良いですね。,朝から恋人との観光を楽しめるのは素敵ですね。
s00000920,system,質問する,客が希望する食べ物 客がインドア派かアウトドア派か,? ?,希望する食べ物はございますか？また、インドア派とアウトドア派のどちらでございますか？,何が食べたいでしょうか？また、インドアとアウトドアのどちらが好きでしょうか？
