id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000075,user,質問する,観光地の名称 観光地のWi-Fiの有無,? ?,観光地の名称とWi-Fiの有無を教えて。,観光地の名称とWi-Fiがあるかどうかが知らせてくれませんか？
u00000018,user,質問する,観光地のお土産,?,観光地のお土産てどんなのがある？,観光地にはどんなお土産があるでしょうか？
u00000339,user,教える,客の観光の同行者,歴史好き,同行者は	歴史好きなんです。,歴史好きの同行者がいます。
u00000330,user,教える,客の観光の同行者,未定,同行者は決まってないんだ。,同行者はまだ未定なんです。
u00000000,user,感謝する,,,どうもありがとう。,ありがとうございます。
u00000165,user,質問する,観光地におすすめな時期 観光地の車でのアクセス,? ?,車でのアクセスについてと観光地におすすめな時期は？,観光地におすすめな時期はいつなのかと車でのアクセスについての情報を教えてくれませんか？
u00000465,user,教える,客の観光の同行者 客が希望する交通手段,歴史好き バス,歴史好きの同行者がいて、交通手段はバスがいいです。,交通手段はバスを希望します。また、観光の同行者は歴史好きです。
u00000629,user,教える,客の観光の同行者 客の希望の観光時間帯,なし 午後,同行者はいなくて希望の観光時間帯は午後です。,午後に観光したくて、同行者はいません。
u00000540,user,教える,客の観光の同行者 客が希望する観光ジャンル,なし 石・奇岩,希望する観光ジャンルは石・奇岩で、同行者はいません。,石・奇岩を見たくて、同行者はいないよ。
u00000861,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,希望なし アウトドア,私はアウトドア派で交通手段の希望はないよ。,交通手段はなんでもいいです。また、私はアウトドア派です。
u00000978,user,教える,客の希望の観光時間帯 客が希望する観光の季節,夜 未定,季節は決まってないですが、夜に観光したいです。,夜に観光をしたくて、季節については未定です。
u00000105,user,質問する,観光地の名称 観光地周辺のレストランのジャンル,? ?,観光地周辺のレストランのジャンルと観光地の名称について教えてくれませんか？,観光地名称と周辺のレストランのジャンルを教えて。
u00000845,user,教える,客の希望の観光時間帯 客が希望する交通手段,午後 バス,午後の観光とバスでの観光を希望します。,バスで観光したくて、午後に行きたいな。
u00000559,user,教える,客の観光の同行者 客が観光にかけたい時間,なし 60分以上90分未満,観光にかけたい時間は60分以上90分未満で同行者はいません。,同行者はいなくて、60分以上90分未満時間をかけて観光したいな。
u00001071,user,教える,客が観光にかけたい時間 客がインドア派かアウトドア派か,30分以上60未満 アウトドア,30分以上60未満をかけて観光したいです。また、アウトドア派です。,私はアウトドア派で観光にかけたい時間は30分以上60未満がいいです。
u00000965,user,教える,客の希望の観光時間帯 客が希望する観光の季節,朝 冬,冬の朝に観光したいな。,希望するのは時間帯は朝で季節は冬です。
u00000496,user,教える,客の観光の同行者 客が希望する観光の季節,乳幼児 冬,同行者は乳幼児で冬に観光したいです。,観光の同行者は乳幼児で希望する観光の季節は冬です。
u00000830,user,教える,客の希望の観光時間帯 客が希望する交通手段,朝 車,朝に車で観光したいです。,希望する交通手段は車で観光時間帯は朝がいいです。
u00000996,user,教える,客がインドア派かアウトドア派か 客が希望する観光の季節,アウトドア 未定,私はアウトドア派で希望する観光の季節はまだありません。,アウトドア派で観光の季節はいつがいいとか決まった考えはございません。
u00000483,user,教える,客の観光の同行者 客が希望する観光の季節,未定 秋,観光の同行者はまだ未定ですが、秋に観光したいと思っています。,秋に観光したくて、同行者についてはまだ未定となっています。
