id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000146,user,質問する,観光地の料金 観光地の駐車場の有無,? ?,駐車場はどのくらいの料金ですか？,駐車にどのくらいお金がかかります？
u00000673,user,教える,客の観光の同行者 客の希望の観光時間帯,歴史好き 未定,ここには素敵な歴史があります,歴史的な街並みが並んでいますよ
u00000127,user,質問する,観光地の駐車場の有無 観光地の営業時間,? ?,この駐車場はどのくらいやってます？,この駐車場の営業時間教えてください
u00000772,user,教える,客が観光にかけたい時間 客が希望する交通手段,希望なし 未定,観光にどのくらい時間かけたい？,観光にはどのくらいかかります？
u00000791,user,教える,客が観光にかけたい時間 客が希望する交通手段,30分以上60未満 公共交通機関,ここは30分ほどで着きます？,ここには交通機関は何を使えば良いですか？
u00001000,user,教える,客がインドア派かアウトドア派か 客が希望する観光の季節,アウトドア 秋,秋はアウトドア派になる,アウトドア派になる季節が秋だ
u00001103,user,教える,客の本日の同行者 客の本日の交通手段,友達 バス,本日はバスで行く,バスで今回は行く
u00000371,user,教える,客の本日の交通手段,車,車で出かけることにする,今回は車でいく
u00000802,user,教える,客が観光にかけたい時間 客が希望する交通手段,90分以上 車,90分以上も車でかかる,90分ほどドライブにかかる
u00000632,user,教える,客の観光の同行者 客の希望の観光時間帯,乳幼児 希望なし,乳幼児はこの時間まで観光可能です,乳幼児の観光時間は決まっています
u00000615,user,教える,客の観光の同行者 客の趣味,家族 洞窟探索,洞窟探検が好きだ,洞窟を探検することが好きだ
u00000967,user,教える,客の希望の観光時間帯 客が希望する観光の季節,日中 希望なし,日中観光できます,観光時間は日中だ
u00001118,user,教える,客の本日の同行者 客の本日の交通手段,ペット バス,ペットは連れ添える,ペットはバスに可能だ
u00001129,user,教える,客の本日の同行者 客の本日の交通手段,歴史好き 電車,本日は歴史好きが多い,本日は電車に乗って歴史巡りをする
u00000786,user,教える,客が観光にかけたい時間 客が希望する交通手段,30分以上60未満 未定,30分ほどで観光したい,観光方法は未定だ
u00000301,user,質問する,観光地のおすすめイベント 観光地の駐車場の料金,? ?,おすすめのイベントはなんですか？,駐車料金知りたいです
u00000374,user,教える,客の本日の交通手段,公共交通機関,どのようにいけば良いですか？,どの交通機関が使えますか？
u00001142,user,教える,客の希望の観光時間帯 客がインドア派かアウトドア派か,日中 インドア,インドアが多いです,日中はインドア派が多い
u00000633,user,教える,客の観光の同行者 客の希望の観光時間帯,乳幼児 朝,朝は観光に乳幼児を連れる,観光に乳幼児が付き添う
u00000455,user,教える,客の観光の同行者 客が希望する交通手段,女性 未定,観光に女性がついても良いですか？,女性を付き添って観光する
