id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000661,user,教える,客の観光の同行者 客の希望の観光時間帯,ペット 未定,何時に行けるかわかりませんが、ペットと一緒に行きます。,時間は決めていませんが、ペットを連れて行きます。
u00000338,user,教える,客の観光の同行者,女性,連れの女性がいます。,女性と同伴します。
u00000854,user,教える,客の希望の観光時間帯 客が希望する交通手段,夜 公共交通機関,公共交通機関で夜、観光したいです。,夜、公共交通機関で行く予定です。
u00000350,user,教える,客が希望する観光の季節,春,春に行きたいです。,春を希望します。
u00000923,user,教える,客が観光にかけたい時間 客が希望する観光の季節,30分未満 冬,冬に30分以内で観光したいです。,30分未満で冬の間がいいです。
u00000527,user,教える,客の観光の同行者 客が希望する観光の季節,女性 未定,時期は決めていませんが、女性と一緒に行きます。,女の方と一緒に行きますが、季節は未定です。
u00000485,user,教える,客の観光の同行者 客が希望する観光の季節,なし 未定,季節は未定ですが、一人で行きます。,単身で、時期は決めていません
u00000982,user,教える,客の希望の観光時間帯 客が希望する観光の季節,夜 秋,秋の夜に行きたいです。,秋、夜間に観光したいです
u00000836,user,教える,客の希望の観光時間帯 客が希望する交通手段,日中 希望なし,交通手段は特に希望はありませんが、日中に観光したいです。,昼間に観光したいですが、交通機関は何でもいいです。
u00000817,user,教える,客の希望の観光時間帯 客が希望する交通手段,未定 バス,時間はまだ決めていませんがバスでいきます。,時間は未定ですが、バスを使って行きたいです。
u00001074,user,教える,客が観光にかけたい時間 客がインドア派かアウトドア派か,60分以上90分未満 アウトドア,アウトドアで60分から90分くらいの観光を希望します。,60分から90分の間で、アウトドアがいいです。
u00000650,user,教える,客の観光の同行者 客の希望の観光時間帯,恋人 希望なし,恋人と一緒に行きますが、時間はいつでもいいです。,時間帯は特に希望はありませんが、恋人と同伴します。
u00000692,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,友達 インドア,友達と一緒にインドアで観光したいです。,インドアで友達と一緒に観光します。
u00001120,user,教える,客の本日の同行者 客の本日の交通手段,ペット 公共交通機関,今日はペットを連れて公共交通機関で来ました。,今日は公共交通機関で、ペットと一緒に行きます。
u00000449,user,教える,客の観光の同行者 客が希望する交通手段,ペット 希望なし,ペットと同行で、交通機関は何でもいいです。,交通機関は何でもいいですが、ペットも一緒です。
u00000588,user,教える,客の観光の同行者 客が観光にかけたい時間,家族 30分以上60未満,30分から60分くらいで家族と観光します。,家族と30分から60分の間で観光したいです。
u00000266,user,質問する,観光地の飲食物持ち込みの可否 観光地の新型コロナウイルス感染対策,? ?,コロナ対策や飲食物の持ち込みはどうでしょう。,飲食物の持ち込みができるかと、コロナ対策について知りたいです。
u00000805,user,教える,客が観光にかけたい時間 客が希望する交通手段,90分以上 公共交通機関,公共交通機関で90分以上かけて観光したいです。,1時間半以上で、公共交通機関で行きたいです。
u00001018,user,教える,客が観光にかけたい時間 客の趣味,未定 パン作り,時間はどのくらい使えるか分かりませんが、パンを作るのが好きです。,パン作りが好きですが、どのくらい時間があるかまだ分かりません。
u00000517,user,教える,客の観光の同行者 客が希望する観光の季節,家族 春,家族と春行きたいです。,春に家族と観光したいです。
