id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000952,user,教える,客の希望の観光時間帯 客が希望する観光の季節,未定 秋,希望する季節は秋だけど時間帯は未定です。,季節は秋が希望で時間帯は決めていません。
u00000594,user,教える,客の観光の同行者 客が観光にかけたい時間,ペット 30分以上60未満,ペット同行でかけたい時間は30分以上60未満です。,ペットが一緒でかける時間は30分から60分くらいでいいです。
u00000045,user,質問する,観光地の名称 観光地の定休日,? ?,そこはなんていう場所でいつが休みですか。,そこの名称は何と言って休みの日はいつですか。
u00000880,user,教える,客が希望する食べ物 客が希望する観光の季節,牛タン 夏,夏にそこで牛タンが食べたいです。,夏に行って牛タンを食べたりするのが希望です。
u00000867,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,バス アウトドア,バスを使ってアウトドアの遊びがしたいです。,バスに乗って外で遊びまわりたいです。
u00000641,user,教える,客の観光の同行者 客の希望の観光時間帯,子供 午後,子供を連れて午後に行ってみたいです。,午後のうちに子供と楽しみたいです。
u00001128,user,教える,客の本日の同行者 客の本日の交通手段,歴史好き バス,歴史好きの友人とバスで行きたいです。,バスで歴史に詳しい友人と行くつもりです。
u00000719,user,教える,客が希望する交通手段 客が希望する観光の季節,未定 夏,夏が希望ですが何で行くかは決めていません。,夏に行くとしたら交通手段はどれがいいですか。
u00000596,user,教える,客の観光の同行者 客が観光にかけたい時間,ペット 90分以上,ペットを連れて90分以上居たいです。,90分以上ペットと一緒に見に行きたいです。
u00000367,user,教える,客の本日の同行者,家族,今日は家族で行きたいです。,家族全員参加します。
u00000607,user,教える,客の観光の同行者 客が観光にかけたい時間,歴史好き 60分以上90分未満,歴史好きの友人と1時間か1時間半くらいいたいです,60分から90分くらい歴史に詳しい知人と行きます。
u00000479,user,教える,客の観光の同行者 客が希望する観光の季節,未定 未定,誰といつ行くか決めていません。,相手が未定でいつ行くかまだ決めてないです。
u00000191,user,質問する,観光地の手荷物預かりの有無 観光地のお土産,? ?,買ったお土産を預かってくれるところはありませんか。,土産などの手荷物はどこに預けたらいいのですか。
u00001072,user,教える,客が観光にかけたい時間 客がインドア派かアウトドア派か,60分以上90分未満 特になし,60分か90分くらいでどこでも構いません。,1時間か1時間半くらいで何をするかはお任せします。
u00000253,user,質問する,観光地の広さ 観光地の手荷物預かりの有無,? ?,そこはどれくらいの広さで荷物を預かってくれるところはありますか。,荷物を預けたほうが良いくらい広い場所ですか。
u00000348,user,教える,客が希望する観光の季節,未定,いつ行きたいかまだ決めていません。,そこは季節はいつがいいでしょうか。
u00000592,user,教える,客の観光の同行者 客が観光にかけたい時間,ペット 希望なし,ペットと一緒に居たいだけいます。,ペットと居られるなら時間は気にしません。
u00000794,user,教える,客が観光にかけたい時間 客が希望する交通手段,60分以上90分未満 希望なし,時間は60分か90分くらいで何で行くかは決めていません。,1時間か1時間半くらいで交通手段は何でもいいです。
u00000941,user,教える,客が観光にかけたい時間 客が希望する観光の季節,90分以上 冬,季節は冬で90分以上かけたいです。,1時間か1時間半くらいで季節は冬がいいです。
u00000557,user,教える,客の観光の同行者 客が観光にかけたい時間,なし 30分未満,一人で30分くらいで行ける所がいいです。,30分くらいで一人が希望です。
