id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000795,user,教える,客が観光にかけたい時間 客が希望する交通手段,60分以上90分未満 車,60分以上90分未満で楽しめて、車で行ける観光地に行きたいです。,車で行くことが可能な、60分から90分未満の滞在時間で楽しめる観光地を考えています。
u00000216,user,質問する,観光地の割引 観光地の新型コロナウイルス感染対策,? ?,この観光地の割引はありますか。また、新型コロナウイルス感染対策はどのようになっていますか。,この観光地ではどのような新型コロナウイルス感染対策を行っていますか。また、割引はありますか。
u00000649,user,教える,客の観光の同行者 客の希望の観光時間帯,恋人 未定,時間帯は決めていませんが、恋人と一緒に楽しめる観光地に行きたいです。,恋人と一緒に観光地へ行くことを検討しています。時間帯は未定です。
u00001038,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,30分未満 朝,朝に30分未満で楽しめる観光地に行きたいです。,滞在時間が30分未満で朝に観光地へ行くことを検討しています。
u00000025,user,質問する,観光地の予約要否,?,この観光地は予約が必要なのでしょうか。,こちらの観光地は、事前に予約しておかなければならないのでしょうか。
u00000156,user,質問する,観光地での観光の所要時間 観光地の公共交通機関でのアクセス,? ?,こちらの観光地の観光所要時間と公共交通機関でのアクセスを教えてもらえますか。,この観光地への公共交通機関でのアクセス方法と、観光所要時間はわかりますか。
u00000678,user,教える,客の観光の同行者 客の希望の観光時間帯,歴史好き 夜,歴史好きの人と一緒に夜楽しめる観光地に行きたいです。,夜に歴史好きの人と楽しめる観光地を検討しています。
u00001026,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,未定 朝,滞在時間は決めていませんが、朝に観光地へ行きたいと考えています。,朝に観光地へ行くことを検討していますが、滞在時間は決めていません。
u00000679,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,未定 特になし,誰と一緒に行くのかは特に決めてませんし、特にインドア派・アウトドア派どちらでもありません。,観光地へ行きたいのですが、特にインドア派・アウトドア派はありません。同行者も決めていないです。
u00000694,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,恋人 特になし,インドア派・アウトドア派はありませんが、恋人と一緒に観光地へ行くことを検討しています。,恋人と一緒に楽しめる観光地へ行きたいです。インドア派・アウトドア派は特にありません。
u00000844,user,教える,客の希望の観光時間帯 客が希望する交通手段,午後 車,午後に車で行ける観光地を希望しています。,車で行ける観光地で楽しみたいです。時間帯は午後が良いです。
u00001084,user,教える,客の趣味 客がインドア派かアウトドア派か,サバゲー 特になし,インドア派かアウトドア派かは特にないのですが、趣味がサバゲーの人におすすめの観光地へ行きたいです。,サバゲーが趣味の人が楽しめる観光地を検討しています。インドア派・アウトドアのこだわりは特にありません。
u00000464,user,教える,客の観光の同行者 客が希望する交通手段,歴史好き 車,歴史好きの人が楽しめて、車で行ける観光地を希望しています。,歴史好きの人と一緒に車で行ける観光地で楽しみたいと思っています。
u00000482,user,教える,客の観光の同行者 客が希望する観光の季節,未定 夏,同行者は決まっていないのですが、夏に観光地へ行きたいと思っています。,夏に観光へ行くことを検討しています。また、誰と一緒に行くかは決めていません。
u00000147,user,質問する,観光地の料金 観光地の電話番号,? ?,この観光地の料金と電話番号はわかりますか。,この観光地の料金はいくらですか。また、ここの電話番号は何番ですか。
u00000945,user,教える,客の趣味 客が希望する観光の季節,コスプレ 夏,コスプレが趣味なのですが、夏にこの趣味を楽しめる観光地に行きたいです。,夏に、趣味のコスプレを楽しめる観光地に行くことを考えています。
u00000652,user,教える,客の観光の同行者 客の希望の観光時間帯,恋人 日中,日中に恋人と楽しめる観光地に行きたいです。,恋人と一緒に行ける観光地を探しています。時間帯は日中を検討しています。
u00000644,user,教える,客の観光の同行者 客の希望の観光時間帯,友達 希望なし,時間帯はいつでもいいので、友達と一緒に楽しめる観光地へ行きたいです。,友達と一緒に観光をする予定です。時間帯はいつでも構いません。
u00000808,user,教える,客の趣味 客が希望する交通手段,鑑賞 希望なし,趣味が鑑賞なのですが、交通手段は問いませんので趣味を楽しめる観光地へ行きたいです。,交通手段はどれでも構いませんので、趣味の鑑賞を楽しめる観光地を探しています。
u00000375,user,教える,客の本日の交通手段,徒歩,ここから徒歩で行ける観光地に行きたいです。,今から徒歩で行くことが可能な観光地に行くことを考えています。
