id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000502,user,教える,客の観光の同行者 客が希望する観光の季節,子供 冬,子供と一緒に冬に観光をしたいのですが,子供と旅ができる冬の観光を教えてほしいです
u00000141,user,質問する,観光地におすすめな時期 観光地の定休日,? ?,そちらの観光でおすすめな時期と定休日はいつですか,そちらを観光する際のおすすめとお休みはいつになっていますか
u00001024,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,未定 未定,観光にかけたい時間と時間帯は未定です,観光をどれくらいかけるかと、どの時間に訪れるかは未定になっています
u00000121,user,質問する,観光地のジャンル 観光地のレビュー,? ?,そちらのジャンルとレビューはどんな感じですか,そちらのジャンルとレビューはどうなっていますでしょうか
u00000635,user,教える,客の観光の同行者 客の希望の観光時間帯,乳幼児 午後,乳幼児と共に午後に観光したいです,乳幼児と一緒に午後に観光することを考えています
u00000700,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,ペット 特になし,ペット同伴で、インドア派かアウトドア派かどうかといった希望は特にありません,ペットと一緒の観光が出来れば良く、インドアかアウトドアかのこだわりは特にありません
u00000450,user,教える,客の観光の同行者 客が希望する交通手段,ペット 車,ペットと一緒に車を使って旅をしたいです,車を使ってペットと共に旅がしてみたいのです
u00001011,user,教える,客の希望の観光時間帯 客が希望する観光ジャンル,朝 鍾乳洞・洞窟,朝の時間帯に鍾乳洞と洞窟に行きたいです,朝オープンしている鍾乳洞と洞窟を教えてほしいです
u00000046,user,質問する,観光地の名称 観光地の料金,三本滝 ?,三本滝の料金はいくらですか,三本滝っていくらで見られるのでしょうか
u00000415,user,教える,客の観光の同行者 客が希望する交通手段,乳幼児 車,車で乳幼児と共に旅をしたいです,乳幼児が同伴する形で車を使って旅をしたいと考えています
u00000210,user,質問する,観光地の割引 観光地の喫煙可否,? ?,割引がいくらになるかと喫煙可否を聞いても良いでしょうか,割引料金とタバコを吸えるかどうかを伺いたいです
u00001138,user,教える,客の希望の観光時間帯 客がインドア派かアウトドア派か,朝 特になし,朝の時間帯に観光をしたいのと、インドアかアウトドアかは特にないので考慮しないでも大丈夫です,インドア派・アウトドア派かといったこだわりは特になく、朝観光出来れば良いです
u00000309,user,質問する,観光地の広さ 観光地の利用可能なキャッシュレス決済,? ?,そこがどれくらい広いかと使えるキャッシュレス決済を教えてもらえますか,そちらの面積の大きさと、どんなキャッシュレス決済が会計で使えますか
u00000328,user,否定する,,,いいえ、違います,いや、そうではありません
u00000124,user,質問する,観光地の公共交通機関でのアクセス 観光地の営業時間,? ?,公共交通機関のアクセス方法とそちらの営業時間はどんな感じですか？,どの公共交通機関を使ったらアクセスできるか、そちらは何時から何時までオープンしていますか？
u00000563,user,教える,客の観光の同行者 客が観光にかけたい時間,乳幼児 30分未満,乳幼児がいるので30分未満で観光を済ませたいです,小さなこともがいるので30分満たない時間で観光をしたいと考えています
u00000804,user,教える,客が観光にかけたい時間 客が希望する交通手段,90分以上 電車,そちらで90分以上かけて観光をしたいのと、電車でそちらに行きたいと思っています,90分以上そちらで観光をする事と、電車でその場所に行ってみようと考えています
u00000356,user,教える,客が観光にかけたい時間,希望なし,そちらでの観光時間は特に希望はありません,そちらで観光をしたい事に加えて、観光にかける時間の希望は特にないです
u00000924,user,教える,客が観光にかけたい時間 客が希望する観光の季節,30分以上60未満 未定,そちらでの観光時間は30分以上60分未満で、観光の季節は未定です,30分以上60分未満の観光と、観光したい季節に関しては未定の状態です
u00000316,user,質問する,観光地のおすすめイベント 観光地の広さ,? ?,そちらの観光地のおすすめイベントと広さを教えてもらえますでしょうか,そちらでのおすすめイベントが何であるかと、どれくらい広いかを教えてもらっても良いでしょうか
