id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00001023,user,教える,客が観光にかけたい時間 客の趣味,90分以上 楽器演奏,楽器演奏が趣味なんですけど、そういう観光がしたいですね。観光時間は90分以上が良いです。,観光にかける時間は90分以上で、楽器演奏が好きなのでそういった方向で観光ができれば。
u00000683,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,なし インドア,同行者はいません。インドア派なのでそういった観光ができれば良いと思います。,同行者はおらず一人なので、インドア派でも行ける所であれば良いですね。
u00000908,user,教える,客が観光にかけたい時間 客が希望する観光の季節,未定 春,春の季節に観光したいです。観光にかける時間はまだ決まっていません。,観光にどれ位の時間を掛けるかはまだ分かりません。季節は春がいいです。
u00000536,user,教える,客の観光の同行者 客が希望する観光の季節,歴史好き 夏,夏の季節に観光したいです。同行者は歴史好きなので、そういった場所があれば良いと思います。,歴史好きの同行者がいて、希望する季節は夏です。
u00000242,user,質問する,観光地の待ち時間 観光地のWi-Fiの有無,? ?,観光地はどれ位の待ち時間が掛かるのでしょうか。あとWi-Fiは繋がっていますか。,観光地はWi-Fiがありますか。観光地の待ち時間も知りたいです。
u00000034,user,質問する,観光地がインドアかアウトドアか,?,観光地はインドアですか、アウトドアですか。,観光地はインドアかアウトドアか、どちらでしょうか。
u00000471,user,教える,客の観光の同行者 客が希望する食べ物,乳幼児 ステーキ,同行者に乳幼児がいます。食事はステーキが良いです。,食事はステーキを希望します。観光は乳幼児と行きます。
u00000492,user,教える,客の観光の同行者 客が希望する観光の季節,乳幼児 希望なし,観光には乳幼児を連れて行きます。季節はいつでも良いです。,希望する季節はありません。観光の同行者は乳幼児です。
u00000454,user,教える,客の観光の同行者 客が希望する交通手段,ペット 徒歩,ペットを連れて、徒歩で移動したいです。,交通手段は徒歩が希望です。ペットと観光します。
u00000534,user,教える,客の観光の同行者 客が希望する観光の季節,歴史好き 希望なし,同行者は歴史好きです。希望の季節はありません。,季節はいつでも良いです。観光には歴史好きの人と行きます。
u00000891,user,教える,客の希望の観光時間帯 客が希望する食べ物,未定 ケーキバイキング,観光時間帯は決まっていません。食事はケーキバイキングが良いです。,ケーキバイキングに行きたいと思っています。観光する時間帯はまだ未定です。
u00000016,user,質問する,観光地が雨天でも楽しめるか,?,観光地は雨天でも楽しめるところでしょうか。,雨天の場合に楽しめる観光地ですか。
u00000041,user,質問する,観光地の名称 観光地のジャンル,? ?,観光地は何というところですか。観光地のジャンルも知りたいです。,観光地のジャンルと名称を教えてほしいです。
u00000931,user,教える,客が観光にかけたい時間 客が希望する観光の季節,60分以上90分未満 希望なし,観光時間は60分以上90分未満で済ませたいです。季節の希望はありません。,観光に行く季節はいつでも良いです。60分以上90分未満の観光がしたいです。
u00000284,user,質問する,観光地の待ち時間 観光地の予約要否,? ?,観光地の待ち時間と、予約が要るかどうかを知りたいです。,観光地の予約は必要でしょうか。待ち時間も教えて欲しいです。
u00000010,user,質問する,観光地の最寄り駅,?,観光地の最寄り駅は何処でしょうか。,観光地に最寄り駅はありますか。
u00000260,user,質問する,観光地の飲食物持ち込みの可否 観光地の喫煙可否,? ?,観光地は飲食物の持ち込みは可能ですか。喫煙の可否も知りたいです。,観光地は喫煙と、飲食物持ち込みは出来ますか。
u00000697,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,家族 特になし,観光の同行者は家族で傾向としてはインドア、アウトドアどちらでもいいです。,インドア派かアウトドア派かでいうと、希望は特にありません。同行者は家族です。
u00000889,user,教える,客が観光にかけたい時間 客が希望する食べ物,90分以上 洋食,観光には90分以上かけたいです。食事は洋食希望です。,食事は洋食が良いです。観光は90分以上したいです。
u00000787,user,教える,客が観光にかけたい時間 客が希望する交通手段,30分以上60未満 希望なし,希望する交通手段は特に無いですが、観光は30分以上60分未満で済ませたいです。,観光にかける時間は30分以上60分未満で、交通手段の希望は無いです。
