id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001278,system,情報を教える,観光地の名称 観光地におすすめな人 観光地の公共交通機関でのアクセス,黒部湖駅 恋人 ＪＲ韮崎駅→車20分,黒部湖駅は恋人との観光におすすめで、ＪＲ韮崎駅→車20分の場所にあります。,ＪＲ韮崎駅→車20分の場所にある黒部湖駅は恋人との観光におすすめの観光地です。
s00002059,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の喫煙可否,ベイサイドビーチ坂 アウトドア 不可能,ベイサイドビーチ坂はアウトドアな観光地です。ここでの喫煙はできません。,アウトドアな観光地であるベイサイドビーチ坂は喫煙が不可能となっています。
s00001010,system,情報を教える,観光地の名称 観光地周辺のレストランの評価,市川市動植物園 大町自然観察園 2,市川市動植物園 大町自然観察園周辺のレストランの評価は２です。,市川市動植物園 大町自然観察園の周辺にあるレストランの評価は２となっています。
s00000933,system,質問する,客の趣味 客の希望の観光時間帯,? ?,お客様のご趣味と観光される時間帯のご希望を教えてください。,お客様のご趣味は何ですか。また、観光される時間帯についてご希望はありますか。
s00001569,system,情報を教える,観光地の名称 観光地の利用可能なキャッシュレス決済 観光地の割引,戦場ケ原公園 クレジットカード 子供とお年寄り、障害を持つ方に対して割引がある,戦場ケ原公園ではクレジットカード決済ができます。また、子供とお年寄り、障害を持つ方に対して割引があります。,戦場ケ原公園でのキャッシュレス決済ではクレジットカードが利用可能です。また、子供とお年寄り、障害を持つ方に対しての割引があります。
s00002017,system,情報を教える,観光地の名称 観光地の予約要否 観光地の新型コロナウイルス感染対策,天童市将棋資料館 不可能 不明,天童市将棋資料館は予約ができません。また、新型コロナウイルス感染対策についてどのようにされているか不明です。,天童市将棋資料館への予約は不可能です。また、新型コロナウイルス感染対策をどのようにされているかについてはわかりません。
s00000468,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,秋 バス,ご希望される季節は秋で、バスでの移動をご希望ですね。秋は観光するのにちょうどよい季節ですよね。,移動する手段としてバスをご希望ですね。また、観光される季節は秋をご希望ですね。秋はおいしい食べ物がたくさんあって観光にもぴったりですよね。
s00002626,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の飲食物持ち込みの可否 観光地の予約要否,雄国沼 可能 可能,雄国沼は飲食物の持ち込みは可能です。また、予約もできるのでおすすめの観光地です。,飲食物の持ち込みが可能で、予約もできる雄国沼をおすすめします。
s00000380,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,家族 午後,ご家族との観光で、観光される時間帯は午後をご希望ですね。楽しい観光になると良いですね。,ご希望される時間帯は午後で、ご家族様との観光ですね。良いですね。
s00002051,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の喫煙可否,盛岡市余熱利用健康増進センター ゆぴあす 不明 不明,盛岡市余熱利用健康増進センター ゆぴあすはインドアかアウトドアかは不明です。また、喫煙の可否についても不明です。,盛岡市余熱利用健康増進センター ゆぴあすはンドアかアウトドアかはわかりません。喫煙できるかどうかもわかりません。
s00000144,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,子供 バス,お子様とのご観光で、移動はバスをご希望ですね。楽しい観光になると良いですね。,ご希望される移動手段はバスで、お子様とのご観光ですね。バスでの移動は便利ですよね。
s00000889,system,質問する,客の名前（※） 客が希望する食べ物,千葉 ?,千葉様がご希望される食べ物は何ですか。,千葉様は食べ物について何をご希望されますか。
s00002233,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人,新宮熊野神社 恋人,新宮熊野神社は恋人と観光される方におすすめの観光地ですよ。,新宮熊野神社は恋人との観光におすすめですよ。
s00001001,system,情報を教える,観光地の名称 観光地の待ち時間,南光ひまわり畑 通常はあまり待たずに入場可能,南光ひまわり畑には通常はあまり待たずに入場できます。,通常はあまり待たずに南光ひまわり畑へ入場できます。
s00001101,system,情報を教える,観光地の名称 観光地での観光の所要時間,バーベキューパークJU-JU 30分以上60未満,バーベキューパークJU-JUは所要時間が30分以上60未満です。,バーベキューパークJU-JUでの所要時間は30分以上60未満となっています。
s00001710,system,情報を教える,観光地の名称 観光地の設備 観光地の待ち時間,河会川周辺のほたる 障害者への対応あり 不明,河会川周辺のほたるでは障害者への対応設備はありません。また、待ち時間は不明です。,河会川周辺のほたるでの待ち時間は不明です。また、障害者への対応設備はありません。
s00001844,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の予約要否,こてはし温水プール なし 不明,こてはし温水プールでは手荷物預かりはありません。予約の要否については不明です。,こてはし温水プールは予約ができるかどうかわかりません。手荷物預かりについてはありません。
s00002258,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の新型コロナウイルス感染対策,万松院 入場時のアルコール消毒とマスクの着用,万松院では新型コロナウイルス感染対策として入場時のアルコール消毒とマスクの着用をすることになっているのでおすすめですよ。,万松院では入場時のアルコール消毒とマスクの着用という新型コロナウイルス感染対策を行っているのでおすすめです。
s00001187,system,情報を教える,観光地の名称 観光地のジャンル 観光地が雨天でも楽しめるか,日光東照宮 陽明門 釣り 可能,日光東照宮 陽明門では釣りを楽しむことができ、雨天でも観光を楽しめます。,日光東照宮 陽明門では釣りが楽しめます。また、雨天でも観光を楽しめます。
s00001785,system,情報を教える,観光地の名称 観光地のWi-Fiの有無 観光地の喫煙可否,青木湖キャンプ場＆アドベンチャークラブ あり 可能,青木湖キャンプ場＆アドベンチャークラブにはWi-Fiがあり、喫煙することも可能です。,青木湖キャンプ場＆アドベンチャークラブにはWi-Fiがあります。ここでの喫煙は可能です。
