id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001554,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地の割引,福山自動車時計博物館 なし 子供とお年寄り、障害を持つ方に対して割引がある,福山自動車時計博物館には手荷物預かりはないですが、子供とお年寄り、障害を持つ方に対して割引があります。,福山自動車時計博物館は子供とお年寄り、障害を持つ方に対して割引がありますが手荷物預かりはないです。
s00001232,system,情報を教える,観光地の名称 観光地におすすめな人 観光地の定休日,鞍ケ池公園 家族 無休、かわせみの里は水曜,鞍ケ池公園は家族連れにおすすめです。定休日は無休、かわせみの里は水曜です。,鞍ケ池公園は無休、かわせみの里は水曜で家族の方にお勧めの観光地です。
s00002438,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,一切経山 30分未満 友達,一切経山は所要時間30分未満で友達と行くのがおすすめです。,お友達と行くのがおすすめなのが一切経山で所要時間も30分未満です。
s00001279,system,情報を教える,観光地の名称 観光地におすすめな人 観光地の公共交通機関でのアクセス,高井鴻山記念館 家族 京阪石清水八幡宮駅→石清水八幡宮参道ケーブルで3分、ケーブル八幡宮山上駅下車、徒歩5分,高井鴻山記念館は家族連れで行くのがおすすめです。公共交通機関は京阪石清水八幡宮駅→石清水八幡宮参道ケーブルで3分、ケーブル八幡宮山上駅下車、徒歩5分です。,家族連れでおすすめなのは高井鴻山記念館で京阪石清水八幡宮駅→石清水八幡宮参道ケーブルで3分、ケーブル八幡宮山上駅下車、徒歩5分で行けるのでおすすめです。
s00000425,system,好意的に承知する,客の観光の同行者 客がインドア派かアウトドア派か,女性 インドア,女性の方が同行されてインドア派ということですね。,インドアの女性の方が同行される予定なのですね。
s00000062,system,好意的に承知する,客がインドア派かアウトドア派か,特になし,インドアでもアウトドア派でもないということですね。,特にインドアでもアウトドアというわけでもないのですね。
s00001490,system,情報を教える,観光地の名称 観光地におすすめな人 観光地が雨天でも楽しめるか,ルートイン グランティア福岡宮若-脇田温泉- 家族 不明,ルートイン グランティア福岡宮若-脇田温泉-は家族連れにおすすめで雨天でも楽しめるか不明です。,雨天でも楽しめるかは不明ですがルートイン グランティア福岡宮若-脇田温泉-は家族連れにおすすめです。
s00002520,system,観光地の情報を使って客におすすめする,観光地の名称 観光地のお土産 観光地の広さ,青葉城資料展示館 伝統工芸品 一日あれば十分見て回れるような広さ,青葉城資料展示館にはお土産で伝統工芸品があります。また1日あれば十分見て回れます。,青葉城資料展示館が１日あれば十分見て回れる広さでお土産で伝統工芸品もありおすすめです。
s00000363,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,子供 夜,お子さんが同行して希望の観光時間帯は夜ということですね。,夜の時間がご希望でお子さん連れということですね。
s00000435,system,好意的に承知する,客が希望する食べ物 客が希望する交通手段,イタリア料理 公共交通機関,希望する料理はイタリア料理で希望の交通手段は公共交通機関ですね。,希望の交通手段は公共交通機関で希望する食べ物はイタリア料理ですね。
s00000202,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,未定 春,同行される方がいるかは未定で希望の季節は春ですね。,春の時期はご希望で同行者の方がいるかは決まってないということですね。
s00002457,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地におすすめな人,賀茂別雷神社 90分以上 女性,賀茂別雷神社なら所要時間も90分以上で女性におすすめです。,所要時間は90分以上なのが賀茂別雷神社です。女性におすすめです。
s00001359,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地におすすめな人,赤城南面千本桜 なし 友達,赤城南面千本桜は駐車場がないですが友達と一緒に行くのがおすすめです。,友達と一緒に行くのがおすすめなのが赤城南面千本桜ですが駐車場はないです。
s00002143,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備,上杉神社 乳幼児への対応あり,上杉神社は乳幼児の設備がありおすすめです。,乳幼児の設備があって便利なのが上杉神社でおすすめです。
s00000745,system,好意的に承知する,客の希望の観光時間帯 客が観光にかけたい時間,未定 未定,希望の観光時間帯は決まっておらず観光にかける時間も決まってないのですね。,希望の観光時間帯も観光にかけたい時間も未定ということですね。
s00002153,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の予約要否,エンマ台 可能,エンマ台なら観光地の予約ができておすすめです。,観光地の予約ができるのがエンマ台でおすすめの観光地です。
s00002109,system,情報を教える,観光地の名称 観光地周辺のレストランのジャンル 観光地周辺のレストランの評価,白浜海洋美術館 バー 2,白浜海洋美術館のジャンルはバーでレストランの評価は2です。,レストランのジャンルはバーで評価が2なのが白浜海洋美術館です。
s00000744,system,好意的に承知する,客の趣味 客が観光にかけたい時間,美容 90分以上,観光にかけたい時間は90分以上でお客様の趣味は美容ということですね。,お客様の趣味は美容で観光にかけたい時間は90分以上ですね。
s00000309,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,家族 30分以上60未満,観光に同行されるのはご家族で観光にかけたい時間は30分以上で60分よりも短くしたいということですね。,観光にかける時間は30分以上60分未満がご希望でご家族も一緒ということですね。
s00002561,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の設備 観光地の予約要否,天童市将棋資料館 障害者への対応なし 可能,天童市将棋資料館は障碍者への対応が可能な設備はないですが、予約はできます。,天童市将棋資料館は事前に予約ができますが、障害者への対応はありません。
