id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000486,user,教える,客の観光の同行者 客が希望する観光の季節,なし 希望なし,同行者は付かなくて良いです。また希望する季節もありません。,同行者の居なくて良いです。また希望する季節はありません。
u00000709,user,教える,客が希望する交通手段 客が希望する食べ物,未定 魚料理,交通手段は未定です。また料理は魚料理を希望します。,料理は魚料理を希望しますが。利用したい交通手段は決まってません。
u00000715,user,教える,客が希望する交通手段 客が希望する食べ物,徒歩 和食,移動手段は徒歩を希望します。料理は和食でお願いします。,和食料理を食べたくて、徒歩で移動したいです。
u00001020,user,教える,客が観光にかけたい時間 客の趣味,30分未満 水族館巡り,観光時間は30分を希望で、水族館巡りをしたいです。。,水族館巡りを、30分未満でしたいです。
u00000614,user,教える,客の観光の同行者 客の趣味,恋人 パワースポット巡り,恋人と一緒に、パワースポット巡りをしたいです。,パワースポット巡りを、恋人と同行でしたいです。
u00000509,user,教える,客の観光の同行者 客が希望する観光の季節,恋人 未定,恋人同行ですが、希望する観光季節は決まってません。,恋人と一緒に行きたいが、観光季節は決まってません。
u00000877,user,教える,客が希望する食べ物 客が希望する観光の季節,インターネットカフェ 未定,インターネットカフェで食事をしたいが、観光季節は決まってません。,観光季節は決まってませんが、食事はインターネットカフェでお願いします。
u00001052,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,60分以上90分未満 午後,午後の時間帯で、観光時間は60分以上90分未満でお願いします。,観光時間帯は午後の60分以上90分未満でお願いします。
u00000897,user,教える,客が希望する食べ物 客がインドア派かアウトドア派か,四川料理 特になし,食事は四川料理でお願いしますが、インドア、アウトドアかは決まってません。,四川料理を食べたいが、インドア、アウトドアかは決まってないです。
u00000645,user,教える,客の観光の同行者 客の希望の観光時間帯,友達 朝,友達と二人で朝の時間帯で観光したいです。,朝の時間帯で人数は2人でお願いします。
u00000782,user,教える,客が観光にかけたい時間 客が希望する交通手段,30分未満 バス,バスで移動して、観光時間は30寸未満を希望します。,交通手段はバスを使用して、30分未満の観光でお願いします。
u00000256,user,質問する,観光地のおすすめイベント 観光地の手荷物預かりの有無,? ?,観光地のおすすめイベントは何でしょうか。また手荷物の預かりは出来ますか。,観光地の手荷物の預かりの可能ですか。また、おすすめイベントはありますか。
u00001081,user,教える,客の趣味 客の希望の観光時間帯,離島巡り 日中,離島巡りを、日中の時間でしたいです。,日中の時間内で離島めぐりをしてみたいです。
u00000834,user,教える,客の希望の観光時間帯 客が希望する交通手段,朝 徒歩,朝の時間帯で歩いて観光がしたいです。,歩きで、朝の時間内の観光をお願いしたいです。
u00000030,user,質問する,観光地の広さ,?,観光地の広さはどの位でしょうか。,観光地の面積はどの位ありますでしょうか。
u00000369,user,教える,客の本日の同行者,女性,女性と一緒に同行します。,私の他に女性と2人で行きます。
u00000882,user,教える,客が希望する食べ物 客が希望する観光の季節,チーズタッカルビ 冬,冬場にチーズタッカルビを食べたいです。,冬場の観光シーズンで、食事はチーズタッカルビをお願いしたいです。
u00001030,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,希望なし 未定,特に観光にかける時間も時間帯の希望は無いです。,観光にかけたい時間や時間帯の希望は特にありません。
u00000660,user,教える,客の観光の同行者 客の希望の観光時間帯,家族 夜,家族と夜の時間帯に観光がしたいです。,夜の時間帯に家族と一緒に観光がしたいです。
u00000796,user,教える,客が観光にかけたい時間 客が希望する交通手段,60分以上90分未満 バス,バスで60分以上90分未満の時間の観光がしたいです。,60分以上90未満のバスの観光旅行を希望します。
