id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00001034,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,希望なし 午後,観光は午後の時間帯にしたいと思っています。所要時間の希望はとくにありません。,観光については午後に入れたいと思っています。どのくらいの時間観光するかについてはお任せします。
u00000020,user,質問する,観光地の設備,?,そちらにはどのような設備が揃っているか、わかりますか？,その場所は設備が整ったところですか？
u00000511,user,教える,客の観光の同行者 客が希望する観光の季節,恋人 春,春に恋人と行きたいんですが。,恋人と一緒に行こうと思っていて、季節は春を考えています。
u00000299,user,質問する,観光地の駐車場の料金 観光地の待ち時間,? ?,そちらの観光スポットの待ち時間はどのくらいでしょうか。あと駐車場の料金もわかれば教えてください。,駐車場の料金はいくらですか。それから待ち時間の目安についても知りたいのですが。
u00000164,user,質問する,観光地におすすめな人 観光地の車でのアクセス,? ?,車でアクセスしやすい場所なんですか？どんな人におすすめですか？,この観光スポットはどんな人に向いていますか？車でのアクセスに便利なところですか？
u00000613,user,教える,客の観光の同行者 客の趣味,友達 健康,健康にとても気を使っている友達と一緒に行く予定なんです。,健康に関することに詳しい友達と一緒に行きたいと思ってるんです。
u00001136,user,教える,客の希望の観光時間帯 客がインドア派かアウトドア派か,希望なし インドア,私はインドア派です。観光をする時間帯についてはとくに希望ありませんよ。,観光は午前でも午後でも時間帯は気にしません。ただインドア派なので、そっち関係のほうがいいですね。
u00000230,user,質問する,観光地の新型コロナウイルス感染対策 観光地の設備,? ?,そこは設備が整ったところですか。あとコロナウイルスの感染対策は万全でしょうか。,そちらの設備についてはどうなんでしょうか？コロナウイルスの感染対策についても知りたいですね。
u00000154,user,質問する,観光地の駐車場の有無 観光地の公共交通機関でのアクセス,? ?,公共の交通機関でアクセスしやすい場所にありますか。駐車場はあるんでしょうか。,そちらのスポットには駐車場はありますか。車で行かないとすると、公共交通機関でのアクセスが便利な場所にありますか。
u00000868,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,電車 特になし,アクセスは電車で行きたいですね。アウトドアでも、インドアでもどちらでもいいです。,インドア、アウトドアの希望はとくにありません。ただ車ではなく、電車で行きたいですね。
u00001089,user,教える,客の本日の同行者 客の本日の交通手段,乳幼児 電車,乗り物は電車で、赤ちゃんを連れて行く予定です。,赤ちゃん連れです。交通機関は電車で行こうと思っています。
u00000181,user,質問する,観光地が雨天でも楽しめるか 観光地の電話番号,? ?,そちらは雨が降っても楽しめるスポットでしょうか。電話番号わかりますか。,電話番号を教えていただけますか。それから雨天でも遊べて楽しめる場所かどうか、お聞きしたいんですが。
u00000385,user,教える,客の本日の同行者 客の名前,乳幼児 丸山,丸山と申します。赤ちゃんといっしょに行きます。,丸山ですが、赤ちゃん連れで行こうと思ってます。
u00000616,user,教える,客の観光の同行者 客の趣味,ペット スポーツ,ペット同伴で、スポーツができるところに行きたいですね。,ペット同伴可能なところで、スポーツを楽しみたいんですが。
u00001135,user,教える,客の希望の観光時間帯 客がインドア派かアウトドア派か,希望なし 特になし,アウトドア系でもインドア系でもどちらでもかまいません。観光の時間帯にもとくに希望ありません。,観光に関してはどの時間帯でもいいですよ。インドアでもアウトドアでもどっちでもいいんですけど。
u00001036,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,30分未満 未定,観光は30分以内で済ませたいですね。時間帯はまだ決めてません。,観光は短く、30分以内が希望です。午前中か、午後か、時間帯についてはまだ考えてません。
u00000883,user,教える,客が希望する観光ジャンル 客が希望する食べ物,繁華街・町並み・散歩道 つけ麺,ぶらぶらと街歩きをして、つけ麺とかが食べたいですね。,のんびり街並みを散策して、おなかが空いたらつけ麺とかがいいなって思います。
u00001133,user,教える,客の希望の観光時間帯 客がインドア派かアウトドア派か,未定 インドア,インドアで楽しめるところが希望ですね。訪れる時間帯はまだ決めてないんですよ。,観光するならインドアがいいですね。どの時間帯に行くか、まだよく考えてないです。
u00000841,user,教える,客の希望の観光時間帯 客が希望する交通手段,日中 徒歩,日中に徒歩で行ける場所がいいんですけど。,日中に行きたいと思っていて、徒歩で行ける範囲を希望してます。
u00000988,user,教える,客がインドア派かアウトドア派か 客が希望する観光の季節,特になし 秋,秋に行きたいんですよ。屋外で楽しめるところでも、屋内でも、どちらでもいいですね。,屋外・屋内の希望はとくにないですね、どっちでもいいかな。ただ季節は秋がいいですね。
