id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000676,user,教える,客の観光の同行者 客の希望の観光時間帯,歴史好き 日中,歴史好きな人が満足できる日中に回れる場所が希望です。,日中にいけて、歴史好きな人にお勧めな場所がいいですね。
u00000038,user,質問する,観光地の名称 観光地の説明,長岡市郷土史料館 ?,長岡市郷土史料館にはどんな展示物が有りますか？,長岡市郷土史料館まで駅からどれくらいかかりますか？
u00000564,user,教える,客の観光の同行者 客が観光にかけたい時間,乳幼児 30分以上60未満,乳幼児がいても大丈夫な30分以上60分未満で回れるような場所が希望です,30分以上60分未満で回れて乳幼児と一緒に楽しめる所を求めています。
u00000871,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,公共交通機関 特になし,公共交通機関で移動できる場所ならどこでも大丈夫です。,当日は公共交通機関で移動する予定です。また屋外屋内の希望は今の所ないですね。
u00000707,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,歴史好き インドア,インドア派で歴史好きな人が楽しめるような場所がいいですね。,歴史好きなのですが、その上で出来るだけ建物の中で楽しめる観光を優先したいです。
u00000111,user,質問する,観光地のジャンル 観光地の料金,? ?,どういう観光地で予算はどれくらいかかりそうでしょうか？,どんな所がおススメで、それぞれ入場料はどのくらいになりそうですか？
u00000586,user,教える,客の観光の同行者 客が観光にかけたい時間,家族 希望なし,家族旅行ですが、特に時間は決めずに可能な限り良いルートを教えて欲しいです。,家族と一緒に旅行をしますが、どれくらい時間を取るかはまだ決めていませんね。
u00000215,user,質問する,観光地の割引 観光地の待ち時間,? ?,それぞれ待ち時間や割引の有無が知りたいのですがどんなかんじでしょうか？,行く前に、割引情報や待ち時間情報が分かれば教えていただけますか？
u00000144,user,質問する,観光地の料金 観光地の車でのアクセス,? ?,現地への車でのアクセスや入場料が知りたいです。,それぞれ車ではどういけばいいでしょうか？かかる料金も一緒に知りたいです。
u00000211,user,質問する,観光地の駐車場の料金 観光地の割引,? ?,駐車場の料金と、割引の有無をそれぞれ教えてください。,駐車場の料金は何円でしょうか？また、割引が効いたりはしますか？
u00000631,user,教える,客の観光の同行者 客の希望の観光時間帯,乳幼児 未定,時間はまだ決まっていませんが当日乳幼児を連れて行きますのでお伝えしておきますね。,乳幼児がいますので今の所観光に取る時間はまだ決めてない感じです。
u00001057,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,90分以上 日中,日中に回る予定で、90分以上時間を取る感じになります。,90分以上掛けた上で、日中に行きたいなと考えています。
u00000414,user,教える,客の観光の同行者 客が希望する交通手段,乳幼児 希望なし,乳幼児を連れて行きますが、交通手段はまだ決めていません。,乳幼児がいる前提で、当日の交通手段はなんでも良いと考えています。
u00000145,user,質問する,観光地の料金 観光地の最寄り駅,? ?,それぞれ最寄り駅と入場料を教えてください。,入場料はおいくらですか？また最寄り駅はどこになるでしょうか？
u00000582,user,教える,客の観光の同行者 客が観光にかけたい時間,恋人 30分以上60未満,今回は恋人との旅行で、30分以上60分未満で回れる所が良いと思っています。,30分以上60分未満で恋人と一緒に楽しめる場所が良いです。
u00000726,user,教える,客が希望する交通手段 客が希望する観光の季節,希望なし 秋,秋に行く予定で、今の所交通手段はなんでも良いと考えています。,交通手段は問わないですが、秋に行きたいなと思っています。
u00000604,user,教える,客の観光の同行者 客が観光にかけたい時間,歴史好き 希望なし,歴史好きの人と一緒に回りますが、時間はどれくらいでも大丈夫です。,時間は特に決めてないのですが、一緒に行く歴史好きな人が楽しめる場所が良いです。
u00000136,user,質問する,観光地の最寄り駅 観光地の定休日,? ?,それぞれ最寄り駅と定休日に付いて聞いても良いですか？,最寄り駅はどこになるでしょう？また、定休日などはありますか？
u00000901,user,教える,客が希望する観光ジャンル 客が希望する観光の季節,岬・海岸・断崖 希望なし,時期は問いませんが岬や海岸や断崖が有名な場所に行きたいと考えています。,岬・海岸・断崖に行ければ、季節はいつでも大丈夫です。
u00000382,user,教える,客がインドア派かアウトドア派か,特になし,屋内屋外問わず良い場所を教えて貰えれば嬉しいです。,建物内の展示でも、歩いて観光するコースでもどちらでもOKですね。
