id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001893,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の撮影可否,幕山公園 不可能 可能,幕山公園では飲食の持ち込みは禁止となっておりますが、撮影は可能です。。,幕山公園での撮影は許可されておりますが、飲食物の持ち込みはできません。
s00001067,system,情報を教える,客の名前（※） 観光地の名称 観光地の予約要否,野口 たち農園 不可能,申し訳ございません野口様。たち農園の予約をお取りすることはできません。,お待たせしました野口様。現在たち農園の予約はできない状況となっております。
s00001357,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地におすすめな人,滋賀院門跡 あり 歴史好き,滋賀院門跡には駐車場もあり、歴史好きの方にもおすすめしております。,滋賀院門跡は歴史好きの方におすすめです。駐車場もあります。
s00002116,system,観光地の情報を使って客におすすめする,観光地の名称 観光地のジャンル,小室山公園 図書館,小室山公園がおすすめです。ジャンルとしては図書館になります。,図書館がお求めの方には、小室山公園をおすすめですね。
s00000461,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,夏 バス,夏にバス観光ですか。それは楽しみですね。,夏頃バスに乗っての観光が希望ですね。良いですよね。
s00002087,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の広さ,犬飼滝 不明 一日あれば十分見て回れるような広さ,犬飼滝がインドアかアウトドアかは不明ですが、一日あれば十分見て回れるような広さはあります。,犬飼滝がインドアかアウトドアかわかりません。ただ一日あれば十分見て回れるような広さとなっております。
s00000064,system,好意的に承知する,客がインドア派かアウトドア派か,アウトドア,アウトドア派なんですね。素晴らしい。,アウトドア派ですね。屋外で活動するのは気持ち良いですよね。
s00000652,system,好意的に承知する,客が希望する観光の季節 客が観光にかけたい時間,秋 希望なし,観光は秋が希望で、期間は自由と。秋を希望するのは素晴らしいです。,期間に希望はなく、秋頃が希望ですね。良い季節をお選びですね。
s00001106,system,情報を教える,観光地の名称 観光地におすすめな人,こんぶくろ池自然博物公園 女性,こんぶくろ池自然博物公園は、女性におすすめです。,女性の方には、こんぶくろ池自然博物公園をおすすめしています。
s00001512,system,情報を教える,観光地の名称 観光地のお土産 観光地の設備,湊山公園 伝統工芸品 乳幼児への対応なし,湊山公園では伝統工芸品がお土産としてあります。ただ乳幼児に対応した設備はありません。,湊山公園にはお土産に伝統工芸品がありますが、乳幼児に対応した設備は整っておりません。
s00000693,system,好意的に承知する,客の希望の観光時間帯 客が希望する観光の季節,午後 未定,観光の時期は未定で、午後が希望ですね。良いチョイスです。,観光は午後が希望で、時期はまだ決まっていないんですね。良いと思います。
s00001881,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地がインドアかアウトドアか,樫野釣公園センター あり インドア,樫野釣公園センターはインドアな観光地です。それと手荷物預かりはあります。,樫野釣公園センターは手荷物預かりのある、インドアな観光地となっております。
s00001210,system,情報を教える,観光地の名称 観光地の営業時間 観光地におすすめな時期,割烹 滝川 7～19時 夏,割烹 滝川は7～19時に営業しています。それと夏頃がおすすめです。,割烹 滝川の営業時間は7～19時となっており、夏におすすめしております。
s00000456,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,春 公共交通機関,公共交通機関を利用しての観光で、季節は春が希望ですね。良い季節をご希望だと思います。,春頃に公共交通機関での観光がご希望ですね。良いですね。
s00000388,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,女性 未定,観光の時間帯は決まっておらず、女性がご一緒と。良いですね,女性の方がお連れで、観光の時間帯は未定ですね。楽しみですね。
s00000385,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,ペット 日中,観光は日中がご希望で、ペットもご一緒なんですね。羨ましいです。,ペットと一緒の観光で、時間帯は日中と。楽しみですね。
s00000679,system,好意的に承知する,客の希望の観光時間帯 客が希望する観光の季節,希望なし 秋,観光の時間帯に希望はなく、時期については秋が希望ですね。良い季節をご希望だと思います。,観光は秋が希望で、観光の時間帯に希望はないんですね。楽しみですよね。
s00001904,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の喫煙可否,桜ケ池 不明 不明,桜ケ池への飲食物の持ち込みや喫煙については不明となっております。,桜ケ池での飲食物持ち込みできるか不明となっております。それと喫煙のできるかどうかも不明です。
s00000372,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,恋人 朝,観光の時間帯は朝が希望で、恋人の方がご一緒なんですね。羨ましいです。,恋人の方がお連れで、観光の時間帯は朝が希望と。楽しみですね。
s00000920,system,質問する,客が希望する食べ物 客がインドア派かアウトドア派か,? ?,ご希望する食べ物はありますか。それとインドア派かアウトドア派かはありますか。,何かご希望の食べ物はあるでしょうか。あとお客様はインドア派ですか、アウトドア派ですか。
