id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00001034,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,希望なし 午後,午後からの観光を考えています。観光には、どれだけ時間がかかってもかまいません。,何時間での観光を、という希望はありませんが、時間帯は午後からを予定しています。
u00000020,user,質問する,観光地の設備,?,そちらの観光地の設備についてお尋ねしたいのですが。,観光地の設備についてお聞きしてもよろしいでしょうか。
u00000511,user,教える,客の観光の同行者 客が希望する観光の季節,恋人 春,春に恋人と訪れようと考えています。,恋人と春の旅行を計画しています。
u00000299,user,質問する,観光地の駐車場の料金 観光地の待ち時間,? ?,観光地の駐車場の料金と待ち時間はどのようになっていますか。,観光地の待ち時間はどのくらいですか。また、駐車場の料金はおいくらでしょうか。
u00000164,user,質問する,観光地におすすめな人 観光地の車でのアクセス,? ?,こちらの観光地は、どのような人におすすめされますでしょうか。また、車でのアクセスは良いでしょうか。,こちらの観光地に車でのアクセスを考えていますが、どうでしょうか。また、訪れるのにおすすめなのは、どのような方ですか。
u00000613,user,教える,客の観光の同行者 客の趣味,友達 健康,私の趣味は健康で、今回は友人との旅行を計画しています。,友人と一緒に旅行をと考えています。ちなみに、私の趣味は健康です。
u00001136,user,教える,客の希望の観光時間帯 客がインドア派かアウトドア派か,希望なし インドア,観光時間帯の希望はありませんが、私はインドア派です。,私はインドア派ですが、観光時間帯はいつでもかまいません。
u00000230,user,質問する,観光地の新型コロナウイルス感染対策 観光地の設備,? ?,そちらの観光地の設備、および新型コロナウイルス感染症対策はどのようになっていますでしょうか。,そちらの観光地では、新型コロナウイルスに対してどのような対策を行っていますか。あわせて、観光地の設備についてもお伺いできますでしょうか。
u00000154,user,質問する,観光地の駐車場の有無 観光地の公共交通機関でのアクセス,? ?,こちらの観光地には駐車場はありますか。また、公共交通機関で訪れる場合のアクセス方法も教えてください。,こちらの観光地は、公共交通機関を利用する場合、どのようなアクセス方法がありますか。駐車場の有無もあわせて教えていただきたいです。
u00000868,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,電車 特になし,私は、インドア派・アウトドア派等のこだわりはありませんが、今回は電車での訪問を希望しています。,電車で訪問したいと考えています。ちなみに、私はインドア派・アウトドア派といったようなことは特にありません。
u00001089,user,教える,客の本日の同行者 客の本日の交通手段,乳幼児 電車,今日は電車で、乳幼児と一緒に来ました。,今日は乳幼児を連れて、電車で伺いました。
u00000181,user,質問する,観光地が雨天でも楽しめるか 観光地の電話番号,? ?,こちらの観光地は雨天でも満喫できますか。また、こちらの電話番号をお伺いしたいのですが。,こちらの観光地の電話番号と、雨天の場合でも楽しむことができるかどうかを教えていただけませんでしょうか。
u00000385,user,教える,客の本日の同行者 客の名前,乳幼児 丸山,丸山と申します。今日は乳幼児が一緒です。,丸山です。本日は乳幼児を連れて来ました。
u00000616,user,教える,客の観光の同行者 客の趣味,ペット スポーツ,ペットと一緒に旅行をと考えています。ちなみに、私の趣味はスポーツです。,私の趣味はスポーツで、今回はペット同伴での旅行を予定しています。
u00001135,user,教える,客の希望の観光時間帯 客がインドア派かアウトドア派か,希望なし 特になし,観光時間帯の希望や、インドア派・アウトドア派等のこだわりは特にありません。,私は、インドア派・アウトドア派というようなことは特にありません。また、観光時間帯はいつでもかまいません。
u00001036,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,30分未満 未定,観光地を訪れる時間帯は決めていませんが、30分未満で回りたいと思っています。,観光は30分未満で行いたいです。また、観光時間帯については、まだ考えているところです。
u00000883,user,教える,客が希望する観光ジャンル 客が希望する食べ物,繁華街・町並み・散歩道 つけ麺,繁華街・町並み・散歩道を観光し、つけ麺を食べたいと考えています。,つけ麺が食べたいです。また、観光先としては、繁華街・町並み・散歩道を訪ねたいです。
u00001133,user,教える,客の希望の観光時間帯 客がインドア派かアウトドア派か,未定 インドア,私はインドア派ですが、今のところ観光時間帯はまだ決めていません。,観光時間帯は、まだ考えているところです。ちなみに、私はインドア派です。
u00000841,user,教える,客の希望の観光時間帯 客が希望する交通手段,日中 徒歩,日中に、徒歩で訪れたいと思っています。,交通手段は徒歩で、日中の観光を考えています。
u00000988,user,教える,客がインドア派かアウトドア派か 客が希望する観光の季節,特になし 秋,私は、インドア派・アウトドア派といったことは特にありません。また、観光は秋に行いたいと考えています。,秋に観光したいと思っています。ちなみに、私はインドア派・アウトドア派等のこだわりはありません。
