id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001294,system,情報を教える,観光地の名称 観光地の車でのアクセス 観光地での観光の所要時間,勝浦朝市 山形道山形蔵王ICから西蔵王高原ライン経由15km15分 30分以上60未満,勝浦朝市へ車でアクセスすると山形道山形蔵王ICから西蔵王高原ライン経由15km15分かかり、観光所要時間は30分以上60未満です。,勝浦朝市は30分以上60未満で観光でき、観光地へは山形道山形蔵王ICから西蔵王高原ライン経由15km15分で到着します。
s00000946,system,情報を教える,観光地の名称 観光地の公共交通機関でのアクセス,泉南りんくう公園 ＪＲ松戸駅西口→徒歩20分。,泉南りんくう公園へのアクセス方法はＪＲ松戸駅西口→徒歩20分です。,ＪＲ松戸駅西口→徒歩20分で泉南りんくう公園に到着します。
s00002111,system,情報を教える,観光地の名称 観光地周辺のレストランのジャンル 観光地周辺のレストランの評価,飯能河原 パン屋 4,飯能河原のパン屋のレストラン評価は4です。,レストランの評価4のパン屋が飯能河原にあります。
s00001230,system,情報を教える,観光地の名称 観光地におすすめな人 観光地の定休日,道の駅 たいじ 女性 霊宝殿、宗吾御一代記館は月曜,道の駅たいじにオススメな性別は女性で霊宝殿、宗吾御一代記館は月曜定休です。,女性にオススメな道の駅 たいじですが霊宝殿、宗吾御一代記館は月曜定休となっております。
s00001806,system,情報を教える,観光地の名称 観光地の新型コロナウイルス感染対策 観光地のWi-Fiの有無,泉清水いちご観光農園 入場時のアルコール消毒とマスクの着用 あり,泉清水いちご観光農園は入場時のアルコール消毒とマスクの着用が対策としてなされており、観光地のWi-Fiもあります。,感染対策として入場時のアルコール消毒とマスクの着用がされている泉清水いちご観光農園ですが、観光地のWi-Fi機能はございます。
s00002161,system,観光地の情報を使って客におすすめする,観光地の名称 観光地周辺のレストランの名称,開明学校 ジェラフル海老江店,開明学校の周辺ではジェラフル海老江店が人気です。,ジェラフル海老江店の近くには開明学校があります。
s00000232,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,恋人 春,恋人と春に行くといいですよ。,春には恋人と観光がいいですね。
s00002525,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の飲食物持ち込みの可否 観光地の割引,戸田市立図書館上戸田分館 可能 子供とお年寄り、障害を持つ方に対して割引がある,戸田市立図書館上戸田分館は飲食物持ち込み可能で、子供とお年寄り、障害を持つ方に対して割引があります。,子供とお年寄り、障害を持つ方に対して割引がある戸田市立図書館上戸田分館は、飲食物持ち込みが可能です。
s00000582,system,好意的に承知する,客が希望する交通手段 客がインドア派かアウトドア派か,希望なし アウトドア,アウトドア派ですが、交通手段の希望なしです。,希望する交通手段は特にないですが、アウトドア派です。
s00000290,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,子供 30分未満,観光にはお子様が来られて、観光にかけたい時間は30分未満ですね。,観光にかけたい時間が30分未満かつお子様が同行されるということですね。
s00001651,system,情報を教える,観光地の名称 観光地の設備 観光地の予約要否,勝沼グレパーク 乳幼児への対応あり 不可能,勝沼グレパークは設備として乳幼児への対応ありです。また予約は不可能です。,予約不可能な勝沼グレパークですが、乳幼児への対応設備はありとなっています。
s00001477,system,情報を教える,観光地の名称 観光地におすすめな人 観光地におすすめな時期,いわふねフルーツパーク 歴史好き 冬,いわふねフルーツパークは歴史好きな人へオススメです。また冬にオススメです。,冬におすすめないわふねフルーツパークは、歴史好きにはたまらない場所です。
s00002503,system,観光地の情報を使って客におすすめする,観光地の名称 観光地におすすめな人 観光地におすすめな時期,黄金崎 歴史好き 秋,黄金崎は歴史好きな人へオススメです。また秋にオススメです。,秋にオススメな黄金崎は、歴史好きにはたまらない場所です。
s00001076,system,情報を教える,客の名前（※） 観光地の名称 観光地の新型コロナウイルス感染対策,小川 旧西川家住宅 不明,小川様、旧西川家住宅ではどのように新型コロナウイルス感染対策がされているか不明です。,旧西川家住宅の新型コロナウイルス感染対策は不明ですが、小川様はいかがでしょうか。
s00001754,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地のWi-Fiの有無,無双蔵 不明 不明,無双蔵は、飲食物持ち込みの可否及びWi-Fiの有無は不明です。,飲食物持ち込みの可否及びWi-Fiの有無は不明となっているのが無双蔵です。
s00000937,system,迷っている観光地2箇所の名称を確認する,1つめの観光地 2つめの観光地,赤間神宮 西之丸庭園,赤間神宮か西之丸庭園のどちらかですね。,1つめが赤間神宮、2つめが西之丸庭園です。
s00001768,system,情報を教える,観光地の名称 観光地の撮影可否 観光地のWi-Fiの有無,ぶどうやさん西村 可能 なし,ぶどうやさん西村は撮影可能ですが、Wi-Fiはありません。,撮影可能ですが、Wi-Fiはないのが、ぶどうやさん西村です。
s00002125,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間,福浦島 30分未満,福浦島の観光所要時間は30分未満で回れますよ。,観光の所要時間が30分未満で見れる福浦島がオススメです。
s00000939,system,情報を教える,客の名前（※） 観光地の名称,中野 越前和紙の里,越前和紙の里が観光地です。中野様。,中野様、今回の観光地は越前和紙の里です。
s00000173,system,好意的に承知する,客の観光の同行者 客が希望する交通手段,ペット 電車,観光の同行にペットがおり、電車がご希望ですね。,希望する交通手段は電車で、ペットが観光に同行するということですね。
