id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000795,user,教える,客が観光にかけたい時間 客が希望する交通手段,60分以上90分未満 車,車で行ける場所の観光地で、60分から90分程度観光したいと考えてます。,移動は車が良いです。60分から90分ほどの時間で楽しめる場所に行きたいです。
u00000216,user,質問する,観光地の割引 観光地の新型コロナウイルス感染対策,? ?,割引がきく観光地で、新型コロナウイルス感染対策がしっかりしているところを知りませんか,新型コロナウイルス感染対策がしてあるだけじゃなく、割引で安くなる観光地はどこですか
u00000649,user,教える,客の観光の同行者 客の希望の観光時間帯,恋人 未定,時間帯は未定ですけど、恋人と観光できる場所がいいです。,恋人と楽しめる観光場所がいいです。行く時間は今のところ決まってません。
u00001038,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,30分未満 朝,朝から30分以内に観光を済ませるつもりです。,朝に観光をしたいと考えてます。30分以内で楽しみたいです。
u00000025,user,質問する,観光地の予約要否,?,そちらの観光地に予約は必要ですか。,その観光地には予約が必要か否か教えてもらってもいいですか。
u00000156,user,質問する,観光地での観光の所要時間 観光地の公共交通機関でのアクセス,? ?,その観光地には公共交通機関で向かえますか。また観光にはどれくらいの時間がかかるんでしょうか。,そちらを観光するのに必要な所要時間と、向かう際の公共交通機関を教えてもらってもいいですか。
u00000678,user,教える,客の観光の同行者 客の希望の観光時間帯,歴史好き 夜,夜に歴史好きの方と一緒に観光するつもりです。,歴史好きの方と共に夜の観光地を楽しみたいです。
u00001026,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,未定 朝,どれくらい時間をかけるかはわかりませんが、とりあえず朝に観光したいです。,朝の観光をするつもりですが、どれほど時間がかかるかは未定です
u00000679,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,未定 特になし,観光に一緒に行ってくれる人は決まってません。ちなみにインドア派でもアウトドア派でもないです。,誰かと一緒にいくかどうかはわからないけれど、しっかり観光はしたいです。また、インドアやアウトドアのこだわりはありません。
u00000694,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,恋人 特になし,インドアかアウトドアかはどちらでもいいですが、観光地には恋人を連れて行くことは決めてます。,恋人と一緒に観光したいです。インドア派でもアウトドア派でもないのでどちらでも楽しめます。
u00000844,user,教える,客の希望の観光時間帯 客が希望する交通手段,午後 車,午後から観光したいです。また、車で観光場所に向かうつもりです。,午後から車で観光地に向かおうと考えています。
u00001084,user,教える,客の趣味 客がインドア派かアウトドア派か,サバゲー 特になし,インドア派でもアウトドア派でもないですが、趣味はサバゲ―です。,インドア派でもないしアウトドア派でもありませんが、サバゲ―が趣味なのは確かです。
u00000464,user,教える,客の観光の同行者 客が希望する交通手段,歴史好き 車,そちらには歴史好きの方と一緒に車で向かうつもりです。,観光地には歴史好きの方を連れて車で行きたいです。
u00000482,user,教える,客の観光の同行者 客が希望する観光の季節,未定 夏,誰と行くかは決めてませんが、夏に観光しようと思ってます。,同行者は未定ですが、夏場の観光地を体験したいです。
u00000147,user,質問する,観光地の料金 観光地の電話番号,? ?,観光にかかる料金や観光場所の電話番号を教えてもらえませんか。,観光地の電話番号と必要な金額を知りませんか。
u00000945,user,教える,客の趣味 客が希望する観光の季節,コスプレ 夏,コスプレが趣味で、観光は夏場にしたいです。,コスプレをするのが好きで、観光する季節は夏が好きです。
u00000652,user,教える,客の観光の同行者 客の希望の観光時間帯,恋人 日中,日中に恋人と観光したいと思ってます。,日中に恋人を連れて観光するつもりです。
u00000644,user,教える,客の観光の同行者 客の希望の観光時間帯,友達 希望なし,どの時間帯でもいいので友達と観光したいです。,時間帯に希望はありませんが、友達と一緒に観光をしたいです。
u00000808,user,教える,客の趣味 客が希望する交通手段,鑑賞 希望なし,趣味は鑑賞です。観光のための交通手段は特にこれというものがありません。,観光地へ行く交通手段は何でもいいですが、鑑賞が趣味なのでそこはしっかり楽しみたいです。
u00000375,user,教える,客の本日の交通手段,徒歩,歩きで行ける観光場所が良いです。,徒歩で観光地に向かうつもりです。
