id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000293,user,質問する,観光地の新型コロナウイルス感染対策 観光地の喫煙可否,? ?,観光地で新型コロナウイルスの感染対策や喫煙対策はどうなっているんですか。,その観光地でタバコを吸っても大丈夫で、コロナ対策もなされていますか。
u00000276,user,質問する,観光地の撮影可否 観光地の新型コロナウイルス感染対策,? ?,写真やビデオも撮りたいんですけどOKですかね。,行きたい観光地の新型コロナウイルスの感染対策ってしっかりしていますかね。
u00000446,user,教える,客の観光の同行者 客が希望する交通手段,家族 公共交通機関,公共機関を使って私と一緒に家族も行く予定ですよ。,電車やバスなど公共の交通機関を利用して家族と一緒に行こうと考えています。
u00000600,user,教える,客の観光の同行者 客が観光にかけたい時間,女性 30分以上60未満,一緒に行くのは女性で1時間以内でまわりたいですよ。,女性と一緒なので、大体45分くらい、長くても60分以内にしたいと考えています。
u00001119,user,教える,客の本日の同行者 客の本日の交通手段,ペット 電車,ペットとしてうちの犬も連れて電車で行こうと思っています。,今日は電車で行き、うちの犬も同行させたいと思っています。
u00000643,user,教える,客の観光の同行者 客の希望の観光時間帯,友達 未定,友達と一緒に行こうと計画していますがまだ時間は決めていないんです。,何時ごろに観光したいかはまだ決めていないですが友達と行く予定です。
u00000689,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,子供 インドア,子どもと一緒に屋内施設の観光をしようと思っています。,施設などの屋内でインドアの観光を子どもと一緒に楽しみたいです。
u00000736,user,教える,客が希望する交通手段 客が希望する観光の季節,バス 春,バスを使っての観光を春頃したいです。,季節は春、バスでの観光がいいです。
u00000508,user,教える,客の観光の同行者 客が希望する観光の季節,友達 冬,友達と一緒に冬に楽しく観光することを希望しています。,冬の時期に友達と一緒に観光したいです。
u00000190,user,質問する,観光地のお土産 観光地のWi-Fiの有無,? ?,観光地ではどんなお土産がお勧めで、Wi-Fiを使って調べることも可能ですか。,観光地にWi-Fiや良いお土産はありますかね。
u00000037,user,質問する,観光地周辺のレストランの評価,?,観光地の周辺のレストランは美味しいお店が多いですか。,観光地周りのレストランのクチコミはどうですか。
u00000359,user,教える,客が観光にかけたい時間,60分以上90分未満,観光の予定としては、一時間半以内にしたいと考えています。,60分以上ゆっくり観光したいですが、90分は超えないようにしたいです。
u00000815,user,教える,客の希望の観光時間帯 客が希望する交通手段,未定 希望なし,観光する時間帯はまだ決めかねていますが交通手段は何でもいいですよ。,交通手段の希望は特にないですが、観光の時間帯はまだ決めかねています。
u00000322,user,質問する,観光地の新型コロナウイルス感染対策 観光地がインドアかアウトドアか,? ?,インドアでもアウトドアの観光地の場合でも新型コロナウイルスの感染対策はしっかりとされていますかね。,コロナ対策も知りたいですし、観光地って屋内施設が多いですか、それとも野外でアウトドア中心でしょうか。
u00000480,user,教える,客の観光の同行者 客が希望する観光の季節,未定 希望なし,一緒に行く人はまだ決めていないんですが、観光のみ棒の季節は特にありませんよ。,どの季節に観光するかの希望は特になく、同行する人はまだ未定なんです。
u00000207,user,質問する,観光地の飲食物持ち込みの可否 観光地の割引,? ?,観光地にお弁当やジュースなどは持ちこんでも大丈夫で、割引サービスなどはありますか。,観光地でのお得な割引があり、お菓子やジュースは持ち込みOKですか。ますか。
u00000680,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,未定 インドア,一緒に観光する仲間はまだ決まっていないんですが、屋内施設のインドアの観光が良いです。,私はインドア派なので屋内の観光がいいんですが、一緒に行く人はまだ決まっていないんです。
u00000418,user,教える,客の観光の同行者 客が希望する交通手段,乳幼児 公共交通機関,一緒に連れて行く子供はまだ赤ちゃんですが公共の交通機関を利用したいです。,公共の交通機関を利用して行きたいですが赤ちゃんも一緒に連れていく予定です。
u00000990,user,教える,客がインドア派かアウトドア派か 客が希望する観光の季節,インドア 未定,屋内の施設があるインドアの観光を希望していますが観光の季節はまだ決めていないんです。,観光したい季節は特にまだ考えていないんですがインドアの観光がいいですね。
u00000975,user,教える,客の希望の観光時間帯 客が希望する観光の季節,午後 夏,季節は夏で午後の時間に観光したいですね。,観光の季節は夏がよく午後の時間帯に観光したいですね。
