id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000686,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,乳幼児 インドア,乳幼児と室内で過ごせる場所に行きたいです。,乳幼児がいるので屋内施設が良いです。
u00000313,user,質問する,観光地がインドアかアウトドアか 観光地の利用可能なキャッシュレス決済,? ?,屋内施設かどうかと、利用できるキャッシュレス決済を知りたいです。,外と中どちらで過ごせますか。また使えるキャッシュレス決済は何ですか。
u00001124,user,教える,客の本日の同行者 客の本日の交通手段,女性 電車,女性と電車で行きたいです。,女性と電車で向かいたいです。
u00000413,user,教える,客の観光の同行者 客が希望する交通手段,乳幼児 未定,移動手段は未定ですが乳児がいます。,乳児がいますが、移動手段は決めていません。
u00000918,user,教える,客が観光にかけたい時間 客が希望する観光の季節,30分未満 未定,いつ行くかは検討中ですが、30分未満で観光したいです。,時期は未定ですが、観光は30分未満で終わらせたいです。
u00000727,user,教える,客が希望する交通手段 客が希望する観光の季節,希望なし 冬,冬に観光に行きたいのですが、交通手段の希望はありません。,交通手段の希望はありませんが、冬に観光したいです。
u00000960,user,教える,客の希望の観光時間帯 客が希望する観光の季節,朝 未定,季節は未定ですが、朝に観光したいです。,観光は朝にしたいですが、季節は決まっていません。
u00000270,user,質問する,観光地の撮影可否 観光地の喫煙可否,? ?,観光地では撮影と喫煙はできますか。,観光地で撮影はできますか。またたばこは吸えますか。
u00000711,user,教える,客が希望する交通手段 客が希望する食べ物,車 洋菓子,車で移動して、洋菓子を食べたいです。,移動は車でして、洋菓子も食べたいです。
u00000240,user,質問する,観光地の利用可能なキャッシュレス決済 観光地のWi-Fiの有無,? ?,観光地で利用できるキャッシュレス決済は何ですか。またWi-Fiはありますか。,観光地で使えるキャッシュレス決済を知りたいです。またWi-Fiもあるかどうか知りたいです。
u00000555,user,教える,客の観光の同行者 客が観光にかけたい時間,なし 未定,同行者はいませんが、観光にかけたい時間も未定です。,観光にかけたい時間は未定で同行者もいません。
u00001009,user,教える,客の希望の観光時間帯 客が希望する観光ジャンル,未定 民芸品・工芸品・陶芸品,観光時間帯は未定ですが、民芸品・工芸品・陶芸品を見たいです。,民芸品・工芸品・陶芸品を見たいですが、観光時間は決まっていません。
u00000920,user,教える,客が観光にかけたい時間 客が希望する観光の季節,30分未満 春,観光は30分未満で、春に行きたいです。,春に30分未満の観光に行きたいです。
u00000554,user,教える,客の観光の同行者 客が観光にかけたい時間,未定 90分以上,同行者は決まっていませんが観光時間は90分以上取りたいです。,観光に90分以上かけたいです。同行者は未定です。
u00000581,user,教える,客の観光の同行者 客が観光にかけたい時間,恋人 30分未満,恋人と30分未満で観光したいです。,30分未満で観光したいです。恋人と行きます。
u00000957,user,教える,客の希望の観光時間帯 客が希望する観光の季節,希望なし 夏,時間帯の希望はありませんが、夏に観光したいです。,観光は夏にしたいですが、時間帯に希望はないです。
u00000060,user,質問する,観光地の名称 観光地におすすめな人,アクアパレットまつやま ?,アクアパレットまつやまはどんな人におすすめですか。,どんな人がアクアパレットまつやまを楽しめますか。
u00000011,user,質問する,観光地の駐車場の有無,?,観光地に駐車場はありますか。,駐車場は観光地にありますか。
u00001105,user,教える,客の本日の同行者 客の本日の交通手段,友達 公共交通機関,友達と一緒に公共交通機関で移動したいです。,公共交通機関を利用して友達と行きます。
u00001143,user,教える,客の希望の観光時間帯 客がインドア派かアウトドア派か,日中 アウトドア,日中にアウトドアで楽しみたいです。,アウトドアが良いです。また日中の時間が良いです。
