id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000687,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,乳幼児 アウトドア,乳幼児と一緒にアウトドアを楽しみたいです。,乳幼児と楽しめるアウトドア体験がしたいです。
u00000267,user,質問する,観光地のおすすめイベント 観光地の飲食物持ち込みの可否,? ?,おすすめのイベントはありますか？また、飲食物の持ち込みはできますか？,イベントでおすすめはありますか？また、飲食物を持ち込むことはできますか？
u00000163,user,質問する,観光地の車でのアクセス 観光地での観光の所要時間,? ?,車でのアクセスは可能ですか？また、時間はどれぐらいかかりますか？,車で行くことはできますか？また、どれぐらいで到着しますか？
u00000427,user,教える,客の観光の同行者 客が希望する交通手段,友達 未定,友達が一緒ですが、交通手段はまだ決めていません。,友達と行きますが、何で向かうかは未定です。
u00000336,user,教える,客の観光の同行者,家族,家族が一緒です。,家族と行きます。
u00000057,user,質問する,観光地の名称 観光地の電話番号,? ?,何という名前の観光地で、電話は何番ですか？,観光地の名前と電話番号を教えてください。
u00000667,user,教える,客の観光の同行者 客の希望の観光時間帯,女性 未定,観光する時間帯は決めていませんが、女性が一緒です。,女性と行きますが、何時から何時まで観光するかはまだ決めていません。
u00000740,user,教える,客が希望する交通手段 客が希望する観光の季節,電車 未定,観光する季節は決めていませんが、電車で行きます。,電車で向かいますが、どの季節に行くかは未定です。
u00000134,user,質問する,観光地の公共交通機関でのアクセス 観光地の定休日,? ?,定休日はいつですか？また、公共交通機関でのアクセスはどうなっていますか？,公共交通機関での行き方と定休日を教えてください。
u00000370,user,教える,客の本日の同行者,歴史好き,一緒に行く人が歴史が好きなんです。,同行者が歴史好きです。
u00000423,user,教える,客の観光の同行者 客が希望する交通手段,子供 バス,子供と一緒で、バスで行きたいです。,同行するのは子供です。また、バスを使いたいです。
u00000601,user,教える,客の観光の同行者 客が観光にかけたい時間,女性 60分以上90分未満,女性が一緒で、60分から90分程度観光したいと考えています。,60分から90分ほど女性とともに観光したいと思っています。
u00001063,user,教える,客が観光にかけたい時間 客がインドア派かアウトドア派か,希望なし 特になし,どれぐらい観光したいかの希望も、インドアかアウトドアかの希望も特にありません。,観光する時間もインドアが良いかアウトドアが良いかもどちらも希望はありません。
u00000472,user,教える,客の観光の同行者 客が希望する食べ物,子供 二郎系ラーメン,子供と一緒に二郎系ラーメンが食べたいです。,二郎系ラーメンを子供と食べることを希望します。
u00000866,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,バス インドア,インドア重視で、バスで行きたいです。,インドアが良くて、交通手段はバスが良いです。
u00000378,user,教える,客の希望の観光時間帯,朝,朝に観光したいです。,観光時間帯は朝を希望します。
u00000919,user,教える,客が観光にかけたい時間 客が希望する観光の季節,30分未満 希望なし,希望する季節はなくて、30分までで観光を終わらせたいです。,季節はいつでも良くて、観光は30分程度までにしたいです。
u00000251,user,質問する,観光地の手荷物預かりの有無 観光地のすいている曜日，時間帯,? ?,手荷物預かり所はありますか？また、いつ空いていますか？,手荷物を預かってくれるところはありますか？また、空いている曜日と時間帯を教えてください。
u00000533,user,教える,客の観光の同行者 客が希望する観光の季節,歴史好き 未定,歴史好きの人と一緒に行きます。また、行く季節はいつでも良いです。,希望する季節はありませんが、一緒に行く人は歴史が好きです。
u00000478,user,教える,客の観光の同行者 客が希望する食べ物,歴史好き 水炊き,歴史が好きな人と一緒に行きます。また、希望する食べ物は水炊きです。,歴史好きな人とともに、水炊きを食べたいです。
