id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000735,user,教える,客が希望する交通手段 客が希望する観光の季節,バス 希望なし,バスで観光を考えています。,観光地をバスで巡りたいのですが。
u00000265,user,質問する,観光地の飲食物持ち込みの可否 観光地の待ち時間,? ?,観光地への飲食物の持ち込みは出来ますか。また、待ち時間はどのくらいですか。,観光地への待ち時間と飲食物持ち込みの可否をお尋ねしたいのですが。
u00000443,user,教える,客の観光の同行者 客が希望する交通手段,家族 車,車で家族と観光出来ますか。,家族と車で観光したいのですが。
u00000766,user,教える,客が観光にかけたい時間 客が希望する交通手段,未定 希望なし,観光したいと考えています。,観光したいのですが。
u00000438,user,教える,客の観光の同行者 客が希望する交通手段,恋人 電車,恋人と電車で観光したいと思っています。,電車で恋人と観光にいこうと思っています。
u00000977,user,教える,客の希望の観光時間帯 客が希望する観光の季節,午後 冬,冬の午後から観光したいと思っています。,冬の午後におすすめの観光地を教えてください。
u00001086,user,教える,客の趣味 客がインドア派かアウトドア派か,バレーボール アウトドア,アウトドアでバレーボール出来る所をしたいと思っています。,アウトドア派で、バレーボールが好きです。
u00000685,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,乳幼児 特になし,乳幼児と観光したいと思っています。,乳幼児を連れて観光したいです。
u00000400,user,教える,客の観光の同行者 客が希望する交通手段,未定 希望なし,観光地を教えてください。,おすすめの観光地はありますか。
u00000083,user,質問する,観光地の名称 観光地の予約要否,? ?,おすすめの観光地はありますか。,観光出来る所を教えてください。
u00000839,user,教える,客の希望の観光時間帯 客が希望する交通手段,日中 電車,電車で日中観光したいと思っています。,日中、電車で観光を考えています。
u00000675,user,教える,客の観光の同行者 客の希望の観光時間帯,歴史好き 朝,朝に歴史好きの友人と観光を考えています。,歴史好きの友人と朝に観光したいと思っています。
u00000221,user,質問する,観光地の飲食物持ち込みの可否 観光地の設備,? ?,観光地に飲食物は持ち込めますか。,観光地に飲食物持ち込みは可能でしょうか。
u00000218,user,質問する,観光地の割引 観光地がインドアかアウトドアか,? ?,観光地を割引で行けますか。,割引を使って観光出来ますか。
u00000290,user,質問する,観光地の喫煙可否 観光地の利用可能なキャッシュレス決済,? ?,観光地で喫煙出来ますか。また、どのキャッシュレス決済を使えますか。,観光地での喫煙の可否と使えるキャッシュレス決済を教えてください。
u00000972,user,教える,客の希望の観光時間帯 客が希望する観光の季節,午後 未定,午後から観光を考えています。,午後に観光したいと思っています。
u00000407,user,教える,客の観光の同行者 客が希望する交通手段,なし 希望なし,観光したいと思っています。,観光を考えています。
u00001032,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,希望なし 朝,朝に観光したいと思っています。,朝に観光を考えています。
u00000120,user,質問する,観光地のジャンル 観光地が雨天でも楽しめるか,? ?,雨が降っていても観光を楽しめますか。,雨でも観光を楽しめますか。
u00000325,user,質問する,観光地周辺のレストランの名称 観光地周辺のレストランの評価,? ?,観光地にあるレストランの名前と評価を教えてください。,観光地近辺のレストランとその評価を教えてください。
