id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00001893,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の撮影可否,幕山公園 不可能 可能,幕山公園では飲食物のお持ち込みは出来ませんが撮影は可能です。,幕山公園には飲食物は持ち込み不可となっております。撮影は問題ございません。
s00001067,system,情報を教える,客の名前（※） 観光地の名称 観光地の予約要否,野口 たち農園 不可能,野口様、大変申し訳ございませんがたち農園のご予約はお取りできません。,野口様、残念ながらたち農園は既にご予約がいっぱいとなっております。
s00001357,system,情報を教える,観光地の名称 観光地の駐車場の有無 観光地におすすめな人,滋賀院門跡 あり 歴史好き,滋賀院門跡は駐車場もございますし、歴史好きな方にはおすすめです。,滋賀院門跡は歴史好きな方に好評ですよ。こちらは駐車場もご利用いただけます。
s00002116,system,観光地の情報を使って客におすすめする,観光地の名称 観光地のジャンル,小室山公園 図書館,小室山公園の図書館は非常におすすめです。,小室山公園には図書館もあり大変おすすめですよ。
s00000461,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,夏 バス,夏にバスでのご旅行ですか。よろしいですね。,夏ならバスで回られるの涼しくて宜しいですね。
s00002087,system,情報を教える,観光地の名称 観光地がインドアかアウトドアか 観光地の広さ,犬飼滝 不明 一日あれば十分見て回れるような広さ,犬飼滝は屋内になるのか屋外施設となるのか生憎わかりかねますが、一日で回れる広さですね。,犬飼滝ですか。一日あれば十分な広さと聞き及んでおりますが、申し訳ございませんが屋内スポットとなるのか屋外スポットとなるのかはわかりかねますね。
s00000064,system,好意的に承知する,客がインドア派かアウトドア派か,アウトドア,アウトドア派ですか。宜しいですね。,アウトドア良いですね。私も好きです。
s00000652,system,好意的に承知する,客が希望する観光の季節 客が観光にかけたい時間,秋 希望なし,秋はご旅行に良い季節ですね。観光されるかまだご希望なしとのことですので一緒に検討いたしましょう。,秋のご旅行で、どれぐらい観光されるかはまだ不明とのことですのでご相談承りますね。
s00001106,system,情報を教える,観光地の名称 観光地におすすめな人,こんぶくろ池自然博物公園 女性,こんぶくろ池自然博物公園は女性の方におすすめです。,女性の方ですと、こんぶくろ池自然博物公園なんかがおすすめですよ。
s00001512,system,情報を教える,観光地の名称 観光地のお土産 観光地の設備,湊山公園 伝統工芸品 乳幼児への対応なし,湊山公園は伝統工芸品がお土産に人気ですが、こちらは乳幼児向けの設備は整っておりませんね。,湊山公園に行かれるならお土産に伝統工芸品がおすすめですよ。正し公園内には乳幼児向けの設備はございませんのでご注意ください。
s00000693,system,好意的に承知する,客の希望の観光時間帯 客が希望する観光の季節,午後 未定,午後に観光をご希望ですね。季節はまだ未定とのことで承知いたしました。,どの季節でも午後に観光するのにおすすめのところをお探ししますね。
s00001881,system,情報を教える,観光地の名称 観光地の手荷物預かりの有無 観光地がインドアかアウトドアか,樫野釣公園センター あり インドア,樫野釣公園センターは屋内施設でして、お手荷物の預かりも可能です。,樫野釣公園センターには手荷物預かり所がございますね。あとこちらは屋内施設となっております。
s00001210,system,情報を教える,観光地の名称 観光地の営業時間 観光地におすすめな時期,割烹 滝川 7～19時 夏,割烹 滝川の営業時間は7～19時となっております。こちらは夏に訪れられるのがおすすめです。,割烹 滝川は7～19時までの営業となっており、夏場がおすすめの時期となります。
s00000456,system,好意的に承知する,客が希望する観光の季節 客が希望する交通手段,春 公共交通機関,春に公共交通機関を利用して観光されたいとのことで承知いたしました。,かしこまりました。春に公共交通機関ご利用での観光でお探しいたします。
s00000388,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,女性 未定,同行者は女性の方ですね。観光時間帯は未定とのことで承ります。,女性の方とご一緒で、観光される時間帯はまだはっきりされていないとのことですね。承知いたしました。
s00000385,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,ペット 日中,ペット同伴でのご旅行で、日中の観光に良い場所をお探ししますね。,日中の観光に適した場所でペット同伴でも問題ないところをお選びしますね。
s00000679,system,好意的に承知する,客の希望の観光時間帯 客が希望する観光の季節,希望なし 秋,秋のご旅行ですね。観光時間帯に特にご希望ないのでしたら色々お選びいただけますよ。,観光時間帯は特にご指定なしで秋のご旅行におすすめな所をご案内しますね。
s00001904,system,情報を教える,観光地の名称 観光地の飲食物持ち込みの可否 観光地の喫煙可否,桜ケ池 不明 不明,桜ケ池ですが、申し訳ございませんが飲食物持ち込み可能かどうかも喫煙可能かどうかもわかりかねます。。,桜ケ池に飲食物持ち込み並びに喫煙の可否はわかりかねます。
s00000372,system,好意的に承知する,客の観光の同行者 客の希望の観光時間帯,恋人 朝,恋人と朝に観光ですか。羨ましいです。,恋人の方と一緒のご旅行ですね。朝の観光は気持ちいいでしょうね。
s00000920,system,質問する,客が希望する食べ物 客がインドア派かアウトドア派か,? ?,どのようなお食事を希望されますか？室内又は屋外どちらがよろしいですか？,お食事のご希望や室内で楽しまれたいまたは屋外でのレジャーを希望されるなどございますか？
