id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000451,user,教える,客の観光の同行者 客が希望する交通手段,ペット バス,ペット同行で観光したいです。また、バスに乗って移動したいです。,ペットと一緒に観光に行きたいです。交通手段はバスがいいです。
u00001083,user,教える,客の趣味 客の希望の観光時間帯,音楽 夜,音楽が趣味で、夜に観光をしたいです。,趣味は音楽が好きです。希望の観光時間帯は夜です。
u00000653,user,教える,客の観光の同行者 客の希望の観光時間帯,恋人 午後,恋人が同行します。午後に観光ができると嬉しいです。,恋人と一緒に午後に観光したいです。
u00000008,user,質問する,観光地の公共交通機関でのアクセス,?,そちらには公共交通機関でどのように向かうのでしょうか？,そちらの観光地の公共交通機関でのアクセスを教えてください。
u00001111,user,教える,客の本日の同行者 客の本日の交通手段,恋人 徒歩,恋人と一緒に徒歩で行きたいです。,恋人が同行します。交通手段は徒歩でお願いします。
u00000879,user,教える,客が希望する食べ物 客が希望する観光の季節,シュークリーム 春,シュークリームを食べたいです。春に観光に行きたいです。,食事でシュークリームを食べたいと思っています。観光したい季節は春です。
u00000237,user,質問する,観光地の喫煙可否 観光地のWi-Fiの有無,? ?,そちらでは喫煙はできますか？また、Wi-Fiはありますか？,そちらでの喫煙の可否とWi-Fiの有無について教えてください。
u00000150,user,質問する,観光地の料金 観光地におすすめな時期,? ?,そちらの利用料金はおいくらですか？観光におすすめな時期も知りたいです。,そちらを利用する料金はいくらかかりますか？どの時期に行くのがおすすめでしょうか？
u00000410,user,教える,客の観光の同行者 客が希望する交通手段,なし 電車,観光の同行者はなしで、電車を利用して行きたいです。,観光の同行者はいません。交通手段は電車を予定しています。
u00000148,user,質問する,観光地の料金 観光地での観光の所要時間,? ?,そちらの利用料金はいくらかかりますか？また、観光するのに時間はどのくらいかかりますか？,そちらを利用する料金と観光するのにかかる時間を教えてください。
u00000501,user,教える,客の観光の同行者 客が希望する観光の季節,子供 秋,子どもと一緒に、秋に観光をしたいです。,子どもが同行します。秋の季節に観光に行きたいです。
u00000811,user,教える,客の趣味 客が希望する交通手段,DIY 電車,趣味はDIYです。電車を利用して行きたいです。,DIYが好きです。利用したい交通手段は電車です。
u00000113,user,質問する,観光地のジャンル 観光地の車でのアクセス,? ?,そちらの観光地のジャンルは何でしょうか？車で向かうことはできますか？,そちらの観光地のジャンルを教えてください。車でアクセスすることはできますでしょうか？
u00000638,user,教える,客の観光の同行者 客の希望の観光時間帯,子供 希望なし,子どもが同行いたします。観光時間帯の希望は特にありません。,子どもと一緒に観光します。観光の時間帯はいつでも問題ないです。
u00000005,user,質問する,観光地の営業時間,?,そちらの営業時間を教えていただけますか？,そちらは何時から何時まで営業していますか？
u00000476,user,教える,客の観光の同行者 客が希望する食べ物,ペット チーズ料理,ペットと一緒に観光に行きたいです。食事はチーズ料理を食べたいです。,ペット同行で観光したいと思っています。また、チーズ料理も食べたいです。
u00000094,user,質問する,観光地の名称 観光地の待ち時間,槇果樹園 ?,槇果樹園を観光したいのですが、待ち時間はどのくらいでしょうか？,槇果樹園を観光する場合、待ち時間はどれくらいかかりますか？
u00000488,user,教える,客の観光の同行者 客が希望する観光の季節,なし 夏,同行者はなしで一人で観光します。夏に観光がしたいです。,同行する人はいません。観光したい季節は夏です。
u00000463,user,教える,客の観光の同行者 客が希望する交通手段,歴史好き 希望なし,歴史好きの人が観光に同行します。交通手段の希望は特にございません。,歴史好きの人と観光をする予定です。交通手段は何でも構いません。
u00000204,user,質問する,観光地の割引 観光地の設備,? ?,そちらには割引はありますか？また、設備はどのようなものがありますか？,そちらの観光地の割引の情報とどのような設備があるかを教えてください。
