id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000487,user,教える,客の観光の同行者 客が希望する観光の季節,なし 春,観光に同行する者はいないです。季節は春を希望します。,観光に行くなら春が良いです。同行者はいないです。
u00000949,user,教える,客の希望の観光時間帯 客が希望する観光の季節,未定 希望なし,希望する観光時間帯は決まっておらず。季節も希望はないです。,観光する季節の希望はなく希望する観光時間帯も未定です。
u00000123,user,質問する,観光地の料金 観光地の営業時間,? ?,観光地の料金や営業時間を教えてください。,観光地はいくらくらい料金が必要ですか？また営業時間はどうなってますでしょうか？
u00000674,user,教える,客の観光の同行者 客の希望の観光時間帯,歴史好き 希望なし,観光に同行する者は歴史が好きです。,歴史好きな者が同行者として観光に行きます。
u00000710,user,教える,客が希望する交通手段 客が希望する食べ物,希望なし ネパール料理,希望する交通手段はなくて観光で食べたいのはネパール料理です。,観光で食べてみたいのはネパール料理で交通手段はなんでも良いです。
u00001141,user,教える,客の希望の観光時間帯 客がインドア派かアウトドア派か,日中 特になし,希望する観光の時間帯は日中で私は特にアウトドアでもインドア派でもないです。,アウトドア派でもインドア派でもないです。希望する観光時間帯は日中が良いです。
u00001016,user,教える,客が希望する観光ジャンル 客がインドア派かアウトドア派か,花見スポット インドア,私はインドア派ですが、希望する観光ジャンルは花見スポットです。,インドアですが観光ジャンルは花見スポットを希望します。
u00000950,user,教える,客の希望の観光時間帯 客が希望する観光の季節,未定 春,希望する観光時間帯は決まってないです。季節は春を希望します。,観光の季節は春が良いです。希望する観光時間帯は未定です。
u00000659,user,教える,客の観光の同行者 客の希望の観光時間帯,家族 午後,観光の同行者は家族です。希望する観光時間帯は午後です。,希望の観光時間帯は午後です。観光に一緒に家族も行きます。
u00001064,user,教える,客が観光にかけたい時間 客がインドア派かアウトドア派か,希望なし インドア,私はインドア派で観光にかけたい時間は希望なしです。,観光にかけたい時間に希望はないですが、私はインドア派です。
u00000784,user,教える,客が観光にかけたい時間 客が希望する交通手段,30分未満 公共交通機関,観光にかけたい時間は30分未満で希望する交通手段は公共交通機関です。,交通手段は公共交通機関を希望します。観光には30分未満で終わるのが良いです。
u00000962,user,教える,客の希望の観光時間帯 客が希望する観光の季節,朝 春,希望する観光時間帯は朝です。希望する観光の季節は春です。,観光したいのは春の時期で希望する観光時間帯は朝です。
u00000820,user,教える,客の希望の観光時間帯 客が希望する交通手段,未定 徒歩,希望する観光時間帯は未定です。交通手段は徒歩を希望します。,希望する交通手段は徒歩で希望する観光時間帯は未定です。
u00000393,user,教える,客の本日の同行者 客の名前,歴史好き 村上,歴史が好きという者が同行します。私の名前は村上です。,私は村上という者で歴史好きな者が同行します。
u00000351,user,教える,客が希望する観光の季節,夏,希望する観光の季節は夏が良いです。,観光に行くなら夏が良いです。
u00000497,user,教える,客の観光の同行者 客が希望する観光の季節,子供 未定,観光には子供が同行します。希望する観光の季節は未定です。,希望の観光の季節は決まってないですが、観光には子供が一緒に行きます。
u00000691,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,友達 特になし,インドアでもアウトドア派でもないです。同行者には友達がいます。,友達が同行者として一緒に行きます。私はアウトドアでもインドア派でもないです。
u00000072,user,質問する,観光地の名称 観光地の設備,むれ水芭蕉園 ?,むれ水芭蕉園の設備はどのようなものがありますか？,設備が気になるのですが、むれ水芭蕉園には何がありますか？
u00000381,user,教える,客の希望の観光時間帯,夜,希望する観光時間帯は夜を希望します。,観光するなら夜の時間が良いです。
u00000026,user,質問する,観光地の喫煙可否,?,観光地では喫煙は可能でしょうか？,観光地での喫煙の可否について教えてください。
