id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000451,user,教える,客の観光の同行者 客が希望する交通手段,ペット バス,ペットと一緒にバスで行きたいです。,交通手段はバスで、ペットと同行予定です。
u00001083,user,教える,客の趣味 客の希望の観光時間帯,音楽 夜,夜に音楽が聴ける場所が良いです。,音楽が楽しめて、夜間帯に観光したいです。
u00000653,user,教える,客の観光の同行者 客の希望の観光時間帯,恋人 午後,午後に恋人と観光予定です。,恋人と観光するのですが、時間帯は午後が良いです。
u00000008,user,質問する,観光地の公共交通機関でのアクセス,?,そちらへは公共機関で行けますでしょうか。,公共機関を利用したアクセス方法を知りたいです。
u00001111,user,教える,客の本日の同行者 客の本日の交通手段,恋人 徒歩,徒歩で恋人と共に向かう予定です。,恋人と徒歩で観光したいと思います。
u00000879,user,教える,客が希望する食べ物 客が希望する観光の季節,シュークリーム 春,季節は春で、シュークリームを食べたいです。,シュークリームが美味しい場所で、春に訪れたいです。
u00000237,user,質問する,観光地の喫煙可否 観光地のWi-Fiの有無,? ?,そちらでの喫煙の可否と、Wi-Fiの有無を知りたいです。,Wi-Fiが利用できて、喫煙可能な場所が良いです。
u00000150,user,質問する,観光地の料金 観光地におすすめな時期,? ?,おすすめな時期と料金を教えてください。,観光地の料金と、そこに行くおすすめな時期が知りたいです。
u00000410,user,教える,客の観光の同行者 客が希望する交通手段,なし 電車,一人、電車で行く予定です。,電車で行けて、一人旅におすすめな場所を知りたいです。
u00000148,user,質問する,観光地の料金 観光地での観光の所要時間,? ?,料金および所要時間を教えてください。,観光に要する時間と、観光地で必要な料金を知りたいです。
u00000501,user,教える,客の観光の同行者 客が希望する観光の季節,子供 秋,秋に子供と行きたいです。,子供が一緒で、秋頃の予定です。
u00000811,user,教える,客の趣味 客が希望する交通手段,DIY 電車,DIYが趣味で、移動は電車を希望します。,電車で行けて、DIYを楽しめるような場所が良いです。
u00000113,user,質問する,観光地のジャンル 観光地の車でのアクセス,? ?,車移動を希望します。そこはどのようなジャンルでしょうか。,観光地のジャンルと、車で行けるかどうかを教えてください。
u00000638,user,教える,客の観光の同行者 客の希望の観光時間帯,子供 希望なし,子供と一緒です。観光する時間帯は特に指定しません。,時間帯は何時でも良いのですが、子供と楽しめる場所を希望します。
u00000005,user,質問する,観光地の営業時間,?,そちらの営業時間が知りたいです。,営業時間帯別にそれぞれの観光地を教えてほしいです。
u00000476,user,教える,客の観光の同行者 客が希望する食べ物,ペット チーズ料理,ペットと共にチーズ料理を楽しみたいです。,チーズ料理が美味しくて、ペット同伴が可能な場所が良いです。
u00000094,user,質問する,観光地の名称 観光地の待ち時間,槇果樹園 ?,槇果樹園では待ち時間などありますでしょうか。,待ち時間等を考慮しなければ槇果樹園を希望するのですが。
u00000488,user,教える,客の観光の同行者 客が希望する観光の季節,なし 夏,夏に一人旅をしたいです。,一人で観光予定ですが、季節は夏を希望します。
u00000463,user,教える,客の観光の同行者 客が希望する交通手段,歴史好き 希望なし,歴史を楽しめる場所ならどこでも良いです。,交通手段は何でも良いですが、歴史が好きなのでそういった場所を希望します。
u00000204,user,質問する,観光地の割引 観光地の設備,? ?,そちらの割引および設備を知りたいです。,それぞれの設備情報、割引の有無を教えてください。
