id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000956,user,教える,客の希望の観光時間帯 客が希望する観光の季節,希望なし 春,春のうららかな季節に旅行がしたいです。,春ならでは季節を感じる旅行がしたいです。
u00000311,user,質問する,観光地の新型コロナウイルス感染対策 観光地の利用可能なキャッシュレス決済,? ?,観光地できっちりコロナ感染対策がされていて利用できるキャッシュの種類を教えてください。,コロナ対策を万全にしていて、つかえるキャッシュレス決済はどこがありますか？
u00000973,user,教える,客の希望の観光時間帯 客が希望する観光の季節,午後 希望なし,一年を通して午後にまわれる観光地はどこがありますか？,季節は問いませんが午後から回れる観光地があれば知りたいです。
u00001035,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,希望なし 夜,何時間かけてもいいですが、夜に観光がしたいです。,かかる時間は何時間でもいいですが夜に観光地をまわりたいです。
u00000785,user,教える,客が観光にかけたい時間 客が希望する交通手段,30分未満 徒歩,30分で歩いてまわれる観光地巡りがしたいです。,徒歩で30分ほどかけて観光地をまわりたいです。
u00001003,user,教える,客が観光にかけたい時間 客が希望する観光ジャンル,希望なし 動物生息地・植物群生地,時間は気にしないので、動物消息地や植物群生地を巡りたいです。,動物消息地や植物群生地があれば何時間でも大丈夫なので行きたいです。。
u00000878,user,教える,客が希望する食べ物 客が希望する観光の季節,スペイン料理 希望なし,一年を通してスペイン料理が食べられるお店に行きたいです。,季節は問いませんがスペイン料理が食べたいです。
u00000192,user,質問する,観光地の飲食物持ち込みの可否 観光地のお土産,? ?,観光地では飲食が持ち込めるかどうか、おすすめのお土産はありますか？,観光地のお土産と、そこでは飲食を持ち込めるか教えてください。
u00000171,user,質問する,観光地におすすめな時期 観光地の最寄り駅,? ?,観光地のおすすめ季節と最寄りの駅を教えてください。,観光地の最寄り駅が知りたい、そしておすすめな季節はいつですか？
u00000102,user,質問する,観光地の名称 観光地周辺のレストランの名称,厚田海浜プール ?,厚田海浜プール周辺のレストランを教えてください。,厚田海浜プールのまわりにあるレストランの名前が知りたいです。
u00001060,user,教える,客が観光にかけたい時間 客がインドア派かアウトドア派か,未定 特になし,時間は未定ですが屋内でも屋外でも、どちらも大丈夫です。,インドアアウトドアどちらというわけでもなく、時間は未定です。
u00000599,user,教える,客の観光の同行者 客が観光にかけたい時間,女性 30分未満,女性が同伴なので30分未満でまわりたいです。,30分未満でまわりたいです、連れが女性なので。
u00000611,user,教える,客の観光の同行者 客の趣味,乳幼児 カメラ,カメラが好きなのでカメラ持参で、一緒に乳幼児も同行します。,乳幼児が一緒に同行し、カメラ好きなのでカメラも携帯します。
u00000143,user,質問する,観光地の料金 観光地の公共交通機関でのアクセス,? ?,観光地の交通機関でのアクセスと料金はどれくらいかかりますか？,観光地の料金と交通機関をつかってどういけばいいか教えてください。
u00000160,user,質問する,観光地の車でのアクセス 観光地の最寄り駅,? ?,観光地の車で行く場合と、電車を使う場合の最寄り駅が知りたいです。,観光地へ車での行き方もしくは交通機関をつかうときの最寄り駅を教えてください。
u00000842,user,教える,客の希望の観光時間帯 客が希望する交通手段,午後 未定,車課交通機関を使うか未定ですが、午後に観光をします。,交通手段は決めていませんが、午後に観光がしたいです。
u00000097,user,質問する,観光地の名称 観光地の新型コロナウイルス感染対策,? ?,新型コロナウイスの感染対策がしっかり行われている観光地を教えてください。,新型コロナウイルスの感染対策に取り組んでいる観光地を教えてください。
u00000734,user,教える,客が希望する交通手段 客が希望する観光の季節,バス 未定,季節は決めていませんが、バスをつかって観光がしたいです。,季節は問いませんが交通手段はバスを使いたいです。
u00000771,user,教える,客が観光にかけたい時間 客が希望する交通手段,未定 徒歩,観光の時間は未定ですが、徒歩でまわりたいです。,時間は気にしませんが、徒歩でまわれる観光がしたいです。
u00000881,user,教える,客が希望する食べ物 客が希望する観光の季節,ご当地グルメ 秋,秋の味覚が楽しめるご当地グルメを堪能したいです。,秋の季節にその土地のご当地グルメを楽しみたいです。
