id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000850,user,教える,客の希望の観光時間帯 客が希望する交通手段,夜 希望なし,観光時間は夜が希望です。交通手段に希望はないです。,移動手段に希望はないんだけど、観光するのは夜がいいんだ。
u00000751,user,教える,客が希望する交通手段 客が希望する観光の季節,公共交通機関 冬,冬頃に公共交通機関を使って観光がしたいんです。,冬に観光がしたくて。あと公共交通機関を利用していけるところがいいね。
u00000869,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,電車 インドア,インドア派です。電車を利用しての観光がしたいです。,インドア派なんだけど。移動は電車で観光したいね。
u00000549,user,教える,客の観光の同行者 客が観光にかけたい時間,未定 未定,誰とどのくらい観光したいかもまだ決まっていないんです。,誰と行くか決まっていなくて、期間もまだ未定なんだ。
u00001028,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,未定 午後,どのくらい観光したいか決まっていないんですけど、午後に観光したいんです。,期間は決まってないんだけど、観光するなら午後がいいね。
u00000862,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,車 特になし,インドア派でもアウトドア派でもないんですけど、移動手段は車がいいです。,インドア派もアウトドア派もないんだけど、車で観光したいね。
u00000574,user,教える,客の観光の同行者 客が観光にかけたい時間,友達 希望なし,どのくらい観光したいか決まっていないんですけど、友達と行く予定です。,期間は決まってないんだけど、観光には友達と行くつもりなんだ。
u00001107,user,教える,客の本日の同行者 客の本日の交通手段,恋人 車,今日は恋人と車で来ました。,今日は恋人を連れて、車に乗って来たんです。
u00000384,user,教える,客がインドア派かアウトドア派か,アウトドア,私はアウトドア派です。,自分はアウトドア派だね。
u00000545,user,教える,客の観光の同行者 客が希望する観光ジャンル,家族 観光牧場・観光農園,家族と一緒に観光牧場や観光農園に行きたいです。,観光牧場や観光農園に、家族も連れて観光に行きたいんだ。
u00000999,user,教える,客がインドア派かアウトドア派か 客が希望する観光の季節,アウトドア 夏,アウトドア派です。観光は夏頃が希望です。,アウトドア派で、夏に観光に行きたいね。
u00000447,user,教える,客の観光の同行者 客が希望する交通手段,家族 徒歩,家族と一緒に徒歩で移動しながら観光したいんです。,移動手段は歩きで、家族を連れながら観光したくて。
u00000608,user,教える,客の観光の同行者 客が観光にかけたい時間,歴史好き 90分以上,歴史好きの連れがいるんです。また観光には90分以上かけたいです。,歴史好きなやつと行くんだけど、観光には90分以上けかけたいね。
u00001054,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,90分以上 未定,時間帯はまだ未定なんですけど、ただ90分以上は観光したいです。,90分以上は観光したくて。時間帯はまだ決まってないんだけど。
u00000750,user,教える,客が希望する交通手段 客が希望する観光の季節,公共交通機関 秋,秋頃に公共交通機関を使って観光がしたいんです。,秋に観光がしたくて。あと公共交通機関を利用していけるところがいいね。
u00001114,user,教える,客の本日の同行者 客の本日の交通手段,家族 電車,今日は家族と電車で来ました。,今日は家族を連れて、電車に乗って来たんです。
u00000013,user,質問する,観光地での観光の所要時間,?,観光地ではどれくらい観光する時間がありますか。,観光地で過ごす時間ってどれくらいあるの。
u00000188,user,質問する,観光地の割引 観光地のお土産,? ?,観光地のお土産や割引ってどうなっていますか。,観光地のお土産や割引について教えてちょうだい。
u00000243,user,質問する,観光地の新型コロナウイルス感染対策 観光地のWi-Fiの有無,? ?,観光地の新型コロナウイルス感染対策やWi-Fiってどうなっていますか。,観光地の新型コロナウイルス感染対策やWi-Fiの有無について教えてちょうだい。
u00000648,user,教える,客の観光の同行者 客の希望の観光時間帯,友達 夜,夜に観光したいんです。あと友達と行く予定です。,友達と一緒に観光するんですけど、時間帯は夜がいいんです。
