id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000651,user,教える,客の観光の同行者 客の希望の観光時間帯,恋人 朝,彼女と朝の時間帯に観光したいんです。,つき合っている人と行って朝の観光がしたいんです。
u00001077,user,教える,客が観光にかけたい時間 客がインドア派かアウトドア派か,90分以上 アウトドア,アウトドア派なんでどこかで90分は観光したいです。,1時間半以上は観光してたいです。部屋にいるより外にいる方が好きなので。
u00000513,user,教える,客の観光の同行者 客が希望する観光の季節,恋人 秋,秋につき合っている人と観光に行きたいんです。,恋人と観光に行きたくて。秋がいいですね。
u00000777,user,教える,客が観光にかけたい時間 客が希望する交通手段,希望なし 公共交通機関,特に行きたいところは決まってないですが、電車やバスで回りたいです。,今のところ行きたい場所の希望はないんですけど、現地の公共交通機関で回れたらいいと思います。
u00000701,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,ペット インドア,ペットと行って部屋でゆっくりしたいです。,あちこち回らずに、ペット同伴で泊まれるところで室内で過ごしたいです。
u00000040,user,質問する,観光地の名称 観光地のジャンル,丸亀市民ひろば ?,丸亀市民ひろばってどんな所ですか？,丸亀市民ひろばに行ったら何ができますか？
u00000765,user,教える,客が観光にかけたい時間 客が希望する交通手段,未定 未定,観光に行きたい場所も、どうやって見て回るかも決めてないです。,どこに観光に行きたいかはまだ決まってないです。交通手段も決めてません。
u00001027,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,未定 日中,観光は日中がいいですね。でも何時間くらいとかは決めてないです。,観光にかける時間は未定ですが、日中がいいです。
u00000222,user,質問する,観光地の撮影可否 観光地の設備,? ?,そこの設備はどのようになっていますか？撮影は可能ですか？,そこでは撮影をしたかったらできますか？設備は整っていますか？
u00000944,user,教える,客の趣味 客が希望する観光の季節,おでかけ 春,おでかけが好きなので、春にどこかに観光に行きたいんです。,春に観光したいです。おでかけが趣味なんです。
u00001056,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,90分以上 朝,朝に観光したいです。90分以上はかけたいです。,朝の時間帯で1時間半以上は観光したいです。
u00000357,user,教える,客が観光にかけたい時間,30分未満,30分かからないくらいの観光がしたいです。,観光の時間は30分より短くしたいです。
u00001148,user,教える,客の希望の観光時間帯 客がインドア派かアウトドア派か,夜 インドア,インドア派なんで、観光は夜にしたいです。,夜の観光がいいですね。インドアが好きなんです。
u00000152,user,質問する,観光地の車でのアクセス 観光地の公共交通機関でのアクセス,? ?,車で行けますか？公共交通機関だとどうですか？,公共交通機関で行けますか？車でも行けますか？
u00000093,user,質問する,観光地の名称 観光地の広さ,? ?,そこは何という場所ですか？どのくらいの広さですか？,そこの広さは？そこの名称は何ですか？
u00001099,user,教える,客の本日の同行者 客の本日の交通手段,子供 電車,今日は子どもと行きます。電車で行きます。,今日は電車を使って子どもと行きます。
u00000456,user,教える,客の観光の同行者 客が希望する交通手段,女性 希望なし,女性と一緒に行くんですけど、移動はなんでも構わないです。,女性と一緒に行きます。交通手段はなんでもいいです。
u00000303,user,質問する,観光地のすいている曜日，時間帯 観光地の利用可能なキャッシュレス決済,? ?,そこは何曜日だとすいてますか？すいている時間帯はいつになりますか？あと、キャッシュレス決済は何が使えますか？,そこは何曜日の何時ごろがすいてますか？キャッシュレス決済だと使えるのは何ですか？
u00000250,user,質問する,観光地の手荷物預かりの有無 観光地の駐車場の料金,? ?,駐車場代はいくらしますか？それから手荷物は預かってもらえますか？,手荷物を預かってもらえるかどうかと、駐車料金を教えてください。
u00000672,user,教える,客の観光の同行者 客の希望の観光時間帯,女性 夜,女性と一緒に夜の時間帯に観光したいです。,女性と一緒に行きます。観光は夜がいいです。
