id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000296,user,質問する,観光地の駐車場の料金 観光地のすいている曜日，時間帯,? ?,観光地の空いている曜日と、時間帯そして駐車場の料金を教えてください,観光地の人のいない曜日、そして時間、あと駐車場の料金を教えていただきたいです
u00000103,user,質問する,観光地の名称 観光地周辺のレストランの名称,? ?,観光地周りのレストランの名前と、観光地の名称を教えてください,観光地近くのレストランの名称と、観光地の名前を教えていただきたいです
u00000112,user,質問する,観光地のジャンル 観光地の公共交通機関でのアクセス,? ?,この観光地のジャンルと公共交通機関のアクセス方法を教えてください,この観光地のジャンルとアクセスできる公共交通機関を教えてください
u00000021,user,質問する,観光地のWi-Fiの有無,?,Wi-Fiがこの観光地にあるのでしょうか,この観光地にWi-Fiはありますか
u00000417,user,教える,客の観光の同行者 客が希望する交通手段,乳幼児 電車,電車で乳幼児と観光したいと思っています,電車で移動して乳幼児と観光します
u00000397,user,教える,客の名前 客の本日の交通手段,上田 公共交通機関,上田様は交通手段に公共交通機関を使われました,交通手段は公共機関を上田様は使われました
u00000989,user,教える,客がインドア派かアウトドア派か 客が希望する観光の季節,特になし 冬,観光する季節は冬が良いです、あとはインドアでもアウトドアどちらでも良いです,観光はアウトドアインドアどちらでもかまわないので、季節は冬が良いです
u00000829,user,教える,客の希望の観光時間帯 客が希望する交通手段,朝 希望なし,観光の時間帯は朝が良いです、交通手段は何でも構いません,観光する時間帯は朝がいいです、交通手段は特になんでも構いません
u00000254,user,質問する,観光地の手荷物預かりの有無 観光地の待ち時間,? ?,観光地での手荷物の預かりはありますか、また観光地での待ち時間を教えてください,手荷物預かりは観光地にありますか、あと観光地での待ち時間はどれくらいですか
u00001066,user,教える,客が観光にかけたい時間 客がインドア派かアウトドア派か,30分未満 特になし,観光はインドアでもアウトドアどちらでも良いですが、観光時間は30分未満です,観光時間が30分未満なら観光はアウトドアでもインドアでもいいです
u00000271,user,質問する,観光地の撮影可否 観光地の駐車場の料金,? ?,観光地では撮影ができるのでしょうか、また駐車場の料金はいくらでしょうか,撮影は観光は可能でしょうか、あと駐車場の料金を教えてください
u00001108,user,教える,客の本日の同行者 客の本日の交通手段,恋人 バス,本日はバスを使って恋人と参りました,バスを使って本日は恋人と来ました
u00000610,user,教える,客の観光の同行者 客の趣味,なし トライアスロン,観光の同行者はいません、趣味はトライアスロンです,観光は同行者なしです、トライアスロンが趣味です
u00000579,user,教える,客の観光の同行者 客が観光にかけたい時間,恋人 未定,恋人と一緒に観光するのですが、観光時間はまだ未定です,観光は恋人と一緒にするのですが、観光時間はまだわかりません
u00000014,user,質問する,観光地におすすめな人,?,観光地にはどういう人がおすすめできるでしょうか,観光地におすすめな人が知りたいです
u00000994,user,教える,客がインドア派かアウトドア派か 客が希望する観光の季節,インドア 秋,秋のインドアな観光したいと思っています,インドアな観光を秋にしたいです
u00001049,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,60分以上90分未満 希望なし,希望の時間帯はないですが、90分未満の観光が良いです,希望の時間帯はありませんが、90分くらいの観光で構いません
u00000684,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,なし アウトドア,同行者のいないアウトドアな観光です,同行者はいません、アウトドア観光です。
u00000261,user,質問する,観光地の飲食物持ち込みの可否 観光地の駐車場の料金,? ?,駐車場の料金を教えてください、あと観光地は飲食の持ち込みはできますか,駐車場の料金が知りたいです、そして観光地は飲食の持ち込みができるでしょうか
u00000138,user,質問する,観光地の定休日 観光地の電話番号,? ?,観光地の定休日と電話番号が知りたいです,いつ定休日なのかと電話番号を教えてください
