id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000075,user,質問する,観光地の名称 観光地のWi-Fiの有無,? ?,"そこは何という観光地ですか?また,Wi-Fiはありますか?","その観光地は何という名前ですか?Wi-Fiは使えるんですか?"
u00000018,user,質問する,観光地のお土産,?,"お土産には,何を買って帰ればいいですか?","その観光地で有名なお土産は何がありますか?"
u00000339,user,教える,客の観光の同行者,歴史好き,"一緒に観光に行く人は,歴史好きなんです.","歴史好きな人と一緒に観光に行くんです."
u00000330,user,教える,客の観光の同行者,未定,"誰かと一緒に観光するかどうかはまだ決めてないんです.","誰かと一緒に観光するかどうかはまだ考え中です."
u00000000,user,感謝する,,,"ありがとうございます.","すみません."
u00000165,user,質問する,観光地におすすめな時期 観光地の車でのアクセス,? ?,"いつ観光するのがいいですか?また,車でも行けますか?","いつ観光に行くのがおすすめですか?また,車でもアクセス可能ですか?"
u00000465,user,教える,客の観光の同行者 客が希望する交通手段,歴史好き バス,"一緒に観光に行く人は歴史好きで、バスで行きたいと思っています.","歴史好きの人と一緒に観光に行きます.バスで行くつもりです."
u00000629,user,教える,客の観光の同行者 客の希望の観光時間帯,なし 午後,"一緒に観光に行く人はいません.午後から観光に行くつもりです.","午後から一人で観光に行く予定です"
u00000540,user,教える,客の観光の同行者 客が希望する観光ジャンル,なし 石・奇岩,"一人で,石や奇岩を観に行きます.","石や奇岩を観に行きたいです.一人で行くつもりです."
u00000861,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,希望なし アウトドア,"アウトドア派です.交通手段の希望はありません.","外で遊ぶ方が好きです.交通手段は何でもいいです."
u00000978,user,教える,客の希望の観光時間帯 客が希望する観光の季節,夜 未定,"季節はまだ決めていませんが,夜に行きたいです.","何月ごろに観光するか未定ですが,夜に観光したいと思っています."
u00000105,user,質問する,観光地の名称 観光地周辺のレストランのジャンル,? ?,"観光地の名前は何ですか?観光地近くには,どんな飲食店がありますか?","観光地は何という名前ですか?近くにはどんなジャンルのレストランがありますか?"
u00000845,user,教える,客の希望の観光時間帯 客が希望する交通手段,午後 バス,"午後から,バスで観光する予定です.","バスで行って,午後から観光がしたいです."
u00000559,user,教える,客の観光の同行者 客が観光にかけたい時間,なし 60分以上90分未満,"1時間から1時間半くらいかけて観光したいです.一緒に行く人はいません.","一人で,1時間から1時間半くらいで見て回りたいです."
u00001071,user,教える,客が観光にかけたい時間 客がインドア派かアウトドア派か,30分以上60未満 アウトドア,"建物の外を観光したいです.時間は30分から1時間くらいを予定しています.","30分から1時間くらいで,屋外の観光スポットを見て回りたいです."
u00000965,user,教える,客の希望の観光時間帯 客が希望する観光の季節,朝 冬,"冬の朝に観光がしたいです.","冬に観光します.時間は朝を予定しています."
u00000496,user,教える,客の観光の同行者 客が希望する観光の季節,乳幼児 冬,"冬に乳幼児と一緒に観光します.","冬に観光するつもりです.一緒に行く子供はまだ小さいです"
u00000830,user,教える,客の希望の観光時間帯 客が希望する交通手段,朝 車,"朝,車で観光するつもりです.","車で観光しようと思っています.時間は朝を予定しています."
u00000996,user,教える,客がインドア派かアウトドア派か 客が希望する観光の季節,アウトドア 未定,"季節はまだ決めていませんが、アウトドアで楽しみたいと思っています.","屋外の観光スポットを見て回りたいです.いつ観光するのかは未定です."
u00000483,user,教える,客の観光の同行者 客が希望する観光の季節,未定 秋,"秋ごろ観光に行こうと思っています.一人で行くのか,誰かと一緒に行くのかはまだ決めていません","誰と行くのかは決めていませんが,秋に観光に行くつもりです."
