id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000401,user,教える,客の観光の同行者 客が希望する交通手段,未定 車,同行者については未定ですが、移動手段は車でお願いします。,車で移動したいのですが、同行者については未定です。
u00000656,user,教える,客の観光の同行者 客の希望の観光時間帯,家族 希望なし,家族が同行予定ですが、時間の希望はありません。,時間は何時でも良いのですが、家族がご同行します。
u00001091,user,教える,客の本日の同行者 客の本日の交通手段,乳幼児 徒歩,今日は赤ん坊を連れて徒歩で移動します。,赤ちゃんと一緒に歩きます。
u00001048,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,60分以上90分未満 未定,何時からでも良いのですが、60分から90分はほしいですね。,少なくとも60分から90分は下さい。何時でも構いません。
u00000934,user,教える,客が観光にかけたい時間 客が希望する観光の季節,60分以上90分未満 秋,秋に行きたいです。観て回るのに60分から90分はほしいですね。,秋のシーズンに、60分から90分未満で観光したいです。
u00000022,user,質問する,観光地の手荷物預かりの有無,?,そこでは手荷物を預かってくれますか？,手荷物を預かってくれる所はありますか？
u00001040,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,30分未満 午後,午後の時間帯に30分未満で大丈夫です。,午後に行きたいです。30分もあれば十分です。
u00001082,user,教える,客の趣味 客の希望の観光時間帯,ボランティア 午後,趣味はボランティアです。午後に行きたいです。,行きたい時間帯は午後です。ボランティアが趣味です。
u00000969,user,教える,客の希望の観光時間帯 客が希望する観光の季節,日中 夏,夏の時期に、日中に行きたいです。,行くなら夏の日中がいいですね。
u00000855,user,教える,客の希望の観光時間帯 客が希望する交通手段,夜 徒歩,夜に歩いて行きたいです。,夜になってからがいいですね。徒歩で構いません。
u00000475,user,教える,客の観光の同行者 客が希望する食べ物,家族 焼きそば,家族と一緒に行って、焼きそばを食べたいです。,食べたいのは焼きそばです。家族が同行します。
u00000677,user,教える,客の観光の同行者 客の希望の観光時間帯,歴史好き 午後,同行するのは歴史好きな人です。午後に行きたいです。,午後にの時間帯に、歴史が好きな人と行きたいです。
u00001146,user,教える,客の希望の観光時間帯 客がインドア派かアウトドア派か,午後 アウトドア,アウトドアが好きです。時間帯は午後がいいです。,午後に行きたいです。インドアよりもアウトドアが好きですね。
u00000970,user,教える,客の希望の観光時間帯 客が希望する観光の季節,日中 秋,秋の日中に行きたいです。,秋に行きたいです。夜よりも日中がいいですね。
u00000595,user,教える,客の観光の同行者 客が観光にかけたい時間,ペット 60分以上90分未満,ペットを連れて、60分から90分の時間がほしいです。,60分から90分観たいです。ペットを連れて行きます。
u00000626,user,教える,客の観光の同行者 客の希望の観光時間帯,なし 希望なし,同行者はいませんし、何時でも構いません。,何時でもいいですよ。同行者はなしです。
u00000135,user,質問する,観光地の車でのアクセス 観光地の定休日,? ?,車で行きたいのですが、どこから行きましょうか。定休日はありますか。,そこへ車で行くことはできますか。定休日があったら教えてくださいますか。
u00000241,user,質問する,観光地の広さ 観光地のWi-Fiの有無,? ?,そこの広さはどれくらいでしょうか。そこにwifiはありますか。,wifiはありますか。そこはとても広いのでしょうか。
u00000194,user,質問する,観光地のお土産 観光地の予約要否,? ?,お土産は何か売っていますか。予約は必要でしょうか。,そこは予約が要りますか。お土産は売っていますか。
u00000708,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,歴史好き アウトドア,歴史が好きな人と一緒に行きます。アウトドアのが好きです。,アウトドアを楽しみたいです。同行するのは歴史好きな人です。
