id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000033,user,質問する,観光地のおすすめイベント,?,この観光地のおすすめイベントなんですか。,この観光スポットのおすすめイベントを教えてください。
u00000928,user,教える,客が観光にかけたい時間 客が希望する観光の季節,30分以上60未満 秋,秋の旅行で、観光時間は30分以上60未満希望です。,できれば秋ごろに、30分以上60未満で見て回りたいです。
u00000876,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,徒歩 アウトドア,交通手段は徒歩で、アウトドア好き向きの観光地がいいです。,徒歩で行けて、アウトドア派が楽しめるところをお願いします。
u00000198,user,質問する,観光地のお土産 観光地の利用可能なキャッシュレス決済,? ?,この観光地のおすすめお土産て、利用可能なキャッシュレス決済方法を教えてください。,このスポットのキャッシュレス決済についてと、お土産について知りたいです。
u00000031,user,質問する,観光地の待ち時間,?,この観光地の待ち時間はどのくらいですか。,このスポットってどれくらい待ち時間かかりますか。
u00000392,user,教える,客の本日の同行者 客の名前,女性 鈴木,鈴木と言います、旅行の同行者は女性です。,名前は鈴木です。一緒に行くのは女の人です。
u00000964,user,教える,客の希望の観光時間帯 客が希望する観光の季節,朝 秋,秋ごろに、朝に観光したいです。,秋の季節ね朝の時間帯に見て回りたいです。
u00000506,user,教える,客の観光の同行者 客が希望する観光の季節,友達 夏,夏場に、友達と旅行予定です。,友達と一緒に夏に観光したいと思っています。
u00000718,user,教える,客が希望する交通手段 客が希望する観光の季節,未定 春,春に旅行予定で、交通手段はまだ決まっていません。,どうやって行くかはまだわかりません、時期は春希望です。
u00000428,user,教える,客の観光の同行者 客が希望する交通手段,友達 希望なし,友達との旅行です、交通手段は問いません。,行き方はなんでもいいです、友達と一緒に観光です。
u00000280,user,質問する,観光地の駐車場の料金 観光地の予約要否,? ?,この観光地の予約の必要性と、駐車場料金について教えてください。,このスポットは事前予約がいるのか、駐車場はいくらか知りたいです。
u00000567,user,教える,客の観光の同行者 客が観光にかけたい時間,子供 未定,子供と一緒です、観光にかける時間は決まっていません。,見て回る時間は未定ですが、一緒に行く同行者は子供です。
u00000082,user,質問する,観光地の名称 観光地の予約要否,安楽島海水浴場 ?,安楽島海水浴場予約が必要ですか。,この安楽島海水浴場というスポットはあらかじめ予約しなければなりませんか。
u00000602,user,教える,客の観光の同行者 客が観光にかけたい時間,女性 90分以上,女性と一緒に、90分以上は見て回りたいです。,観光には90分以上はかけたいです、相手は女性です。
u00001147,user,教える,客の希望の観光時間帯 客がインドア派かアウトドア派か,夜 特になし,インドアアウトドアは問いません、夜に観光したいです。,インドア派アウトドア派のこだわりはないです、夜の時間に観光希望です。
u00001047,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,30分以上60未満 夜,夜間に、観光スポットを30分以上60未満は見て回りたいです。,30分以上60未満で観光できて、時間帯は夜がいいです。
u00000597,user,教える,客の観光の同行者 客が観光にかけたい時間,女性 未定,観光にかけたい時間未定で、同行者は女性です。,一緒に行くのは女性で、ただまだ観光にかける時間は決めてません。
u00000495,user,教える,客の観光の同行者 客が希望する観光の季節,乳幼児 秋,乳幼児を連れて、秋頃に観光したいと思っています。,秋の季節な5旅行予定、乳幼児を連れていきます。3
u00000342,user,教える,客が希望する交通手段,車,観光地へは車で行きたいです。,旅行の交通手段は自動車予定です。
u00000942,user,教える,客の趣味 客が希望する観光の季節,Twitter 未定,行く季節はまだ決まっていま、ちなみに趣味はTwitterです。,Twitter趣味に合った観光地、旅行時期は未定です。
