id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
s00000036,system,好意的に承知する,客が観光にかけたい時間,希望なし,ごゆっくり観光をお楽しむことができます。,時間のゆるすかぎり楽しめます。
s00000643,system,好意的に承知する,客が希望する観光の季節 客が観光にかけたい時間,春 60分以上90分未満,春はこの地域を観光するのにいい季節です。,1時間から1時間半でも充分に楽しめると思います。
s00000696,system,好意的に承知する,客の希望の観光時間帯 客が希望する観光の季節,午後 夏,承知しました。午後からの観光をご希望ですね,夏の時期をご希望ですね。
s00000281,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,なし 90分以上,観光はお一人行かれますね。,観光地では90分以上の時間で回られますね
s00000482,system,好意的に承知する,客が希望する観光ジャンル 客が希望する交通手段,遺跡・史跡・城址 バス,遺跡・史跡・城址の観光をご希望ですね,バスでの移動をご希望ですね
s00001719,system,情報を教える,観光地の名称 観光地の設備 観光地の新型コロナウイルス感染対策,塘路元村キャンプ場 障害者への対応なし 入場時のアルコール消毒とマスクの着用,その観光地は塘路元村キャンプ場と申します。,そこの設備は障害者への対応はございません。また新型コロナウイルス感染対策として入場時のアルコール消毒とマスクの着用が必要です。
s00000066,system,好意的に承知する,客の名前（※） 客の観光の同行者,近藤 なし,近藤様でございますね。,お一人での入場ですね。
s00000773,system,好意的に承知する,客の希望の観光時間帯 客が観光にかけたい時間,午後 60分以上90分未満,観光地には午後をご希望ですね。,60分から90分で観光されるということですね。
s00001148,system,情報を教える,観光地の名称 観光地の待ち時間,雲上殿 不明,コチラ観光地は雲上殿と申します。,観光地の入場時間は現地でお伝えします。
s00001431,system,情報を教える,観光地の名称 観光地での観光の所要時間 観光地におすすめな時期,種子島宇宙センター 30分以上60未満 夏,コチラの観光地は種子島宇宙センターと申します。,コチラ観光するのには夏が最適の季節です。
s00001517,system,情報を教える,観光地の名称 観光地のお土産 観光地のWi-Fiの有無,北鎮記念館 不明 なし,コチラの観光地は北鎮記念館と申します。,現地でのお土産はわかりませんしWi-Fiもないですね。
s00000321,system,好意的に承知する,客の観光の同行者 客が観光にかけたい時間,女性 30分以上60未満,女性のお連れ様がご一緒ですね。,30分から1時間滞在のご予定ですね。
s00002382,system,観光地の情報を使って客におすすめする,観光地の名称 観光地の車でのアクセス 観光地におすすめな人,串本海中公園水族館 東海北陸道郡上八幡ICから30km30分 家族,串本海中公園水族館はおススメの場所です。,現地へは東海北陸道郡上八幡ICから30km30分で行けるのでご家族ずれにはお勧めです。
s00000980,system,情報を教える,観光地の名称 観光地のWi-Fiの有無,石廊崎 あり,コチラは石廊崎と申します。,コチラはWi-Fiも完備されています。
s00002163,system,観光地の情報を使って客におすすめする,観光地の名称 観光地周辺のレストランの評価,掬月亭 4,掬月亭はお客様にオススメの場所です。,コチラのレストランの評価は4ですのでピッタリだと思います。
s00000561,system,好意的に承知する,客の希望の観光時間帯 客が希望する交通手段,日中 公共交通機関,お客様は日中の時間帯をご希望ですね,公共交通機関をご希望ですね
s00001485,system,情報を教える,観光地の名称 観光地におすすめな人 観光地が雨天でも楽しめるか,農家食堂・ベジQ 女性 可能,そちらは農家食堂・ベジQと申します。,コチラは女性に人気の場所で雨の日でも楽しめます。
s00001799,system,情報を教える,観光地の名称 観光地の広さ 観光地のWi-Fiの有無,渋川スカイランドパーク 不明 不明,そちらは渋川スカイランドパークと申します。,そちら広さやWi-Fiのはっきりした情報はございません。
s00002423,system,観光地の情報を使って客におすすめする,観光地の名称 観光地での観光の所要時間 観光地の電話番号,ジョーズ 30分以上60未満 0261-22-0190,ジョーズはおススメの場所です。,およそ30分から60分で見れるのでおススメです。電話番号	0261-22-0190となりますので予約をお願いします。
s00000251,system,好意的に承知する,客の観光の同行者 客が希望する観光の季節,女性 夏,お連れ様は女性の方ですね。,お客様のご希望は夏ですね
