id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000688,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,子供 特になし,子連れで行きたいと思っています。それと、特にインドア派でもアウトドア派でもないですね。,インドア派かアウトドア派かは、特にこだわりありません。子供がいるので一緒に連れて行きます。
u00000086,user,質問する,観光地の名称 観光地の駐車場の料金,吉井農園 ?,吉井農園の駐車場は、おいくらぐらいかかりますか。,吉井農園の駐車場の駐車料が知りたいんですけれど。
u00001067,user,教える,客が観光にかけたい時間 客がインドア派かアウトドア派か,30分未満 インドア,私はインドア派なので、外の観光は30分以内で回れるところにしたいです。,観光は30分で回りたいですね。インドア派なんですよ私。
u00000238,user,質問する,観光地の駐車場の料金 観光地のWi-Fiの有無,? ?,そこではWi-Fiが使えるでしょうか。あと駐車場はおいくらなんでしょう。,駐車場代と、Wi-Fiが使えるかどうかを教えてもらえますか。
u00000747,user,教える,客が希望する交通手段 客が希望する観光の季節,公共交通機関 希望なし,公共交通機関で行きたいと思ってます。季節はいつでもいいです。,足は公共交通機関にしたいです。どの季節でも問題ないですね。
u00000219,user,質問する,観光地の設備 観光地のWi-Fiの有無,? ?,観光地の設備が知りたいです。Wi-Fiは使えますか。,観光地の設備、特にWi-Fiが使えるかどうか知りたいです。
u00000763,user,教える,客が希望する観光ジャンル 客が希望する交通手段,図書館 公共交通機関,図書館を観光してみたいです。公共交通機関で行きたいかな。,公共交通機関を使って観光したいです。行先は図書館がいいなと思ってます。
u00001062,user,教える,客が観光にかけたい時間 客がインドア派かアウトドア派か,未定 アウトドア,どれくらい時間をかけようかはまだ決めてないです。アウトドア派なんで。,私はアウトドア派なので、どのくらい長く観光しようかなって今考え中です。
u00000195,user,質問する,観光地のお土産 観光地の喫煙可否,? ?,たばこを吸える場所ってあるでしょうか。それとお土産は買えますか。,お土産を買って帰りたいので、お店が知りたいです。あと途中でたばこも吸いたいな。
u00000515,user,教える,客の観光の同行者 客が希望する観光の季節,家族 未定,家族連れで観光します。どの季節がいいかはまだ決まってません。,家族を連れて行こうと思ってます。季節はいつにしようかな。まだ未定です。
u00000698,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,家族 インドア,私はインドア派ですよ。それと一緒に行くのは家族です。,家族と一緒に観光します。そうだ、私インドア派なんですよね。
u00001112,user,教える,客の本日の同行者 客の本日の交通手段,家族 車,今日は家族を連れて車で来ました。,今日は車で来ました。一緒にいるのは家族です。
u00000926,user,教える,客が観光にかけたい時間 客が希望する観光の季節,30分以上60未満 春,観光は30分から60分の間でできればいいなと思ってます。行くなら春がいいなあ。,かける時間は30分以上で、60分超えないようにしたいです。季節は春になったら行きたいです。
u00000553,user,教える,客の観光の同行者 客が観光にかけたい時間,未定 60分以上90分未満,最低60分長くて90分の間で観光して回りたいです。まだ誰と行くかは決めてません。,一緒に行く人は決まってません。観光時間は60分から90分の間にしたいです。
u00000624,user,教える,客の観光の同行者 客の希望の観光時間帯,未定 夜,誰と行くかはまだわかりません。観光するなら夜にしたいです。,夜間の観光をしたいです。誰か一緒にいくかどうかは決まってません。
u00001008,user,教える,客の趣味 客が希望する観光ジャンル,芸術 道の駅,道の駅を観光してみたいです。趣味が芸術なので何かあると嬉しいですね。,道の駅に行きたいです。趣味の芸術関連のものも何かあればいいなと思います。
u00000248,user,質問する,観光地の手荷物預かりの有無 観光地の予約要否,? ?,予約は必要ですか。それから手荷物は預かってもらえるんでしょうか。,予約がいるかどうかと、手荷物の預かりサービスがあるかどうかが知りたいです。
u00000419,user,教える,客の観光の同行者 客が希望する交通手段,乳幼児 徒歩,乳幼児を連れて、徒歩で行きたいなと思います。,徒歩で行くつもりです。一緒に乳幼児を連れて行きます。
u00000858,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,未定 アウトドア,私はアウトドア派です。何を使って行くかはまだ決めてないです。,インドアかアウトドアでいえばアウトドア派です。交通機関は何にしようかなと思ってます。
u00001121,user,教える,客の本日の同行者 客の本日の交通手段,ペット 徒歩,今日は歩いて来ました。ペットも連れて来たんですよ。,今日は歩きです。一緒にいるのはペットですよ。
