id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00000341,user,教える,客が希望する交通手段,希望なし,交通手段は何でも良いです。,交通手段の希望は特にありません。
u00000151,user,質問する,観光地の料金 観光地が雨天でも楽しめるか,? ?,この観光地の料金はいくらかかりますか。雨が降っていても楽しめるでしょうか。,この観光地で遊ぶにはいくらくらいかかりますか。また雨天の場合でも楽しむことが出来る感じでしょうか。
u00000099,user,質問する,観光地の名称 観光地のおすすめイベント,? ?,この観光地は何という名称ですか。おすすめのイベントなどはありますか。,この観光地の名前を教えてください。何のイベントがおすすめでしょうか。
u00000445,user,教える,客の観光の同行者 客が希望する交通手段,家族 電車,観光へは家族と一緒に行こうと思うのですができれば交通手段は電車でいいですね。,観光は家族と一緒に電車で行きたいです。
u00000925,user,教える,客が観光にかけたい時間 客が希望する観光の季節,30分以上60未満 希望なし,観光の時間は30分から60分くらいで季節は特に何でも良いです。,観光にかける時間は30分から60分程度で季節の希望はありません。
u00000566,user,教える,客の観光の同行者 客が観光にかけたい時間,乳幼児 90分以上,同行者に乳幼児がいるのですが、観光の時間は90分以上はかけたいと思っています。,乳幼児も一緒に連れていくのですが、観光時間は90分以上取りたいです。
u00001068,user,教える,客が観光にかけたい時間 客がインドア派かアウトドア派か,30分未満 アウトドア,観光時間は30分未満で良いです。私はインドア派かアウトドア派で言うとアウトドア派ですね。,私はアウトドアはなんですが、観光にかける時間は30分に満たないくらいで良いです。
u00000437,user,教える,客の観光の同行者 客が希望する交通手段,恋人 バス,恋人と一緒に観光するのですが交通手段はバスが良いですね。,同行者は恋人です。交通手段はバスを希望します。
u00000987,user,教える,客がインドア派かアウトドア派か 客が希望する観光の季節,特になし 夏,私はインドア派、アウトドア派どちらでもないのですが、観光する季節は夏が良いですね。,インドア派でもアウトドア派でも特にどちらでもありません。ただ夏に観光したいと思っています。
u00000489,user,教える,客の観光の同行者 客が希望する観光の季節,なし 秋,一人で観光するつもりですが時期としては秋が良いですね。,秋に観光したいです。同行者は居ません。
u00000552,user,教える,客の観光の同行者 客が観光にかけたい時間,未定 30分以上60未満,同行者の有無はまだ未定ですが、観光にかける時間は30分から60分程度を考えています。,同行者はまだ決まっていませんね。ただ観光時間は30分から60分未満くらいで考えています。
u00000992,user,教える,客がインドア派かアウトドア派か 客が希望する観光の季節,インドア 春,私はインドア派です。観光の季節は春が良いですね。,私はインドアが好きですが、春に観光に行きたいと思っています。
u00000334,user,教える,客の観光の同行者,友達,観光へは友達と行くつもりです。,友達といっしょに観光に行こうと思っています。
u00000327,user,肯定する,,,それは良さそうですね。,良いと思います。
u00001109,user,教える,客の本日の同行者 客の本日の交通手段,恋人 電車,恋人と二人で電車に乗って行くつもりです。,恋人と電車で向かいます。
u00001050,user,教える,客が観光にかけたい時間 客の希望の観光時間帯,60分以上90分未満 朝,観光は60分以上90分未満で考えていますが、出来れば時間帯は朝方にしたいですね。,朝に60分から90分ほど観光時間を取りたいと思っています。
u00000864,user,教える,客が希望する交通手段 客がインドア派かアウトドア派か,車 アウトドア,交通手段は車が良いですね。因みに私はアウトドア派です。,車で行きたいと思っています。インドア派かアウトドア派で言うとアウトドア派かな。
u00000904,user,教える,客が希望する観光ジャンル 客が希望する観光の季節,和洋菓子・スイーツ 秋,秋に美味しい和洋菓子・スイーツなどが食べれる観光がしたいです。,和洋菓子・スイーツを食べれる観光スポットで、季節としては秋が良いですね。
u00000792,user,教える,客が観光にかけたい時間 客が希望する交通手段,30分以上60未満 徒歩,徒歩で向かえる場所で観光の時間としては30分から60分くらいで考えています。,観光時間は30分以上60分未満くらいですね。交通手段は徒歩が良いです。
u00000621,user,教える,客の観光の同行者 客の希望の観光時間帯,未定 朝,同行者はまだ未定なのですが、観光の時間帯としては朝が良いですね。,同行者は未定です。ただ観光は朝にしたいと思っています。
