id,speaker,intent,slots.keys,slots.values,utterance1,utterance2
u00001023,user,教える,客が観光にかけたい時間 客の趣味,90分以上 楽器演奏,楽器演奏が趣味なんですけど、観光地では90分以上時間をかけたいと考えています。,90分以上色々見て回りたいです。楽器演奏を趣味にしていまして。
u00000683,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,なし インドア,インドア派なんですけど、一緒に行く人はいないです。,観光地へ一緒に行く人はいないんです。インドア派なんですけど。
u00000908,user,教える,客が観光にかけたい時間 客が希望する観光の季節,未定 春,春に行こうと思ってるんですけど、時間帯はまだ未定です。,時間帯はいつでもいいので未定なんですけど、季節は春を希望しています。
u00000536,user,教える,客の観光の同行者 客が希望する観光の季節,歴史好き 夏,歴史好きなんですけど、夏に行こうと思ってます。,観光へ行こうと思ってる季節は夏で、歴史好きです。
u00000242,user,質問する,観光地の待ち時間 観光地のWi-Fiの有無,? ?,観光している時の待ち時間はどれぐらいなんでしょうか。Wi-Fiがあるかどうかも教えて欲しいです。,観光地でWi-Fiは使えるんでしょうか。向こうでの待ち時間もどれほどか教えて欲しいです。
u00000034,user,質問する,観光地がインドアかアウトドアか,?,この観光地ってインドアかアウトドアのどちらなんでしょうか,インドアとアウトドア、どちらになってますかこの観光地は？
u00000471,user,教える,客の観光の同行者 客が希望する食べ物,乳幼児 ステーキ,乳幼児も連れていくんですけど、食べたいものはステーキです。,ステーキを食べようと思っているんですけど、同行者には乳幼児がいてるんです。
u00000492,user,教える,客の観光の同行者 客が希望する観光の季節,乳幼児 希望なし,一緒に乳幼児も行くんですけど、季節は希望なしです。,行こうと思っている時期に希望なしで、乳幼児も同行する予定です。
u00000454,user,教える,客の観光の同行者 客が希望する交通手段,ペット 徒歩,ペットも連れて行こうと思ってまして、徒歩で移動するつもりです。,徒歩での移動を考えてまして、ペットも一緒です。
u00000534,user,教える,客の観光の同行者 客が希望する観光の季節,歴史好き 希望なし,一緒に行く人は歴史好きなんですけど、行きたい季節の希望なしです。,特に季節の希望なしです。歴史好きの方も同行する予定です。
u00000891,user,教える,客の希望の観光時間帯 客が希望する食べ物,未定 ケーキバイキング,観光時間帯はまだ未定で、ケーキバイキングを食べたいなって考えています。,ケーキバイキングを食べようと思っているんですけど、観光する時間帯はまだ未定なんです。
u00000016,user,質問する,観光地が雨天でも楽しめるか,?,この観光地って雨天でも大丈夫でしょうか？,雨が降っても楽しめそうな場所なんでしょうか、この観光地は？
u00000041,user,質問する,観光地の名称 観光地のジャンル,? ?,この観光地の名前ってどうでしたっけ？あとどんなジャンルかも教えて欲しいです。,この観光地ってどういうジャンルなのでしょうか？あと名前も教えてもらえませんか？
u00000931,user,教える,客が観光にかけたい時間 客が希望する観光の季節,60分以上90分未満 希望なし,観光には60分以上90分未満かけようと思っていまして、時間帯は希望なしです。,特に時間帯は希望なしなんですけど、60分以上90分未満の時間をかけて観光したいなって思ってます。
u00000284,user,質問する,観光地の待ち時間 観光地の予約要否,? ?,観光地でどれぐらい待つ事になりそうでしょうか？予約ってした方がいいのでしょうか？,こちらの予約状況どうなっていますか？待ち時間がどれぐらいかかるのかも教えて欲しいです。
u00000010,user,質問する,観光地の最寄り駅,?,観光地の最寄り駅ってどちらでしょうか？,この観光地から一番近い駅ってどこになりますか？
u00000260,user,質問する,観光地の飲食物持ち込みの可否 観光地の喫煙可否,? ?,こちらの喫煙状態はどうなっているのでしょうか？飲食物の持ち込みに関しても教えてもらえないでしょうか？,この観光地って飲食物の持ち込みは大丈夫でしょうか？喫煙はしても良いのでしょうか？
u00000697,user,教える,客の観光の同行者 客がインドア派かアウトドア派か,家族 特になし,家族と一緒に行こうと思ってまして、インドア派やアウトドア派等は特になしです。,インドア派かアウトドア派等の区別は特になしで、同行するのは家族の予定です。
u00000889,user,教える,客が観光にかけたい時間 客が希望する食べ物,90分以上 洋食,洋食を食べたいって考えていまして、90分以上かけて観光したいです。,観光には90分以上の時間をかける予定で、食べたいものは洋食なんです。
u00000787,user,教える,客が観光にかけたい時間 客が希望する交通手段,30分以上60未満 希望なし,観光には30分以上60分未満ぐらいかけようと思ってまして、交通手段は希望なしです。,交通手段はいまのところ希望なし。時間は30分以上60未満かけて観光しようかなって思ってます。
